Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ft-MLP-minilm-cora-NCN,56.13 ± nan,66.40 ± nan,83.79 ± nan,92.89 ± nan,98.81 ± nan,100.00 ± nan,65.08 ± nan,56.13 ± nan,66.40 ± nan,83.79 ± nan,92.89 ± nan,98.81 ± nan,100.00 ± nan,97.95 ± nan,97.92 ± nan,0.00 ± nan
ft-MLP-minilm-cora-NCN,58.10 ± nan,69.96 ± nan,84.58 ± nan,92.89 ± nan,98.81 ± nan,100.00 ± nan,65.90 ± nan,58.10 ± nan,69.96 ± nan,84.58 ± nan,92.89 ± nan,98.81 ± nan,100.00 ± nan,98.01 ± nan,97.97 ± nan,0.00 ± nan
ft-MLP-minilm-cora-NCN,52.57 ± nan,67.98 ± nan,83.79 ± nan,92.09 ± nan,98.42 ± nan,100.00 ± nan,62.96 ± nan,52.57 ± nan,67.98 ± nan,83.79 ± nan,92.09 ± nan,98.42 ± nan,100.00 ± nan,97.93 ± nan,97.88 ± nan,0.00 ± nan
ft-MLP-minilm-cora-NCN,52.17 ± nan,69.57 ± nan,83.79 ± nan,90.91 ± nan,98.42 ± nan,100.00 ± nan,62.72 ± nan,52.17 ± nan,69.57 ± nan,83.79 ± nan,90.91 ± nan,98.42 ± nan,100.00 ± nan,97.87 ± nan,97.82 ± nan,0.00 ± nan
ft-MLP-minilm-cora-NCN,55.73 ± nan,66.01 ± nan,82.61 ± nan,91.70 ± nan,98.42 ± nan,100.00 ± nan,64.93 ± nan,55.73 ± nan,66.01 ± nan,82.61 ± nan,91.70 ± nan,98.42 ± nan,100.00 ± nan,97.96 ± nan,97.94 ± nan,0.00 ± nan
ft-MLP-minilm-cora-NCN,54.94 ± nan,67.59 ± nan,83.79 ± nan,93.68 ± nan,98.81 ± nan,100.00 ± nan,64.38 ± nan,54.94 ± nan,67.59 ± nan,84.58 ± nan,93.68 ± nan,98.81 ± nan,100.00 ± nan,97.97 ± nan,97.93 ± nan,0.00 ± nan
ft-MLP-minilm-cora-NCN,41.11 ± 35.60,69.30 ± 20.80,86.69 ± 7.17,93.67 ± 4.56,99.34 ± 0.82,100.00 ± 0.00,57.64 ± 25.48,41.11 ± 35.60,69.30 ± 20.80,86.69 ± 7.17,93.67 ± 4.56,99.34 ± 0.82,100.00 ± 0.00,98.22 ± 1.15,97.73 ± 1.80,0.00 ± 0.00
Best,58.1,69.96,86.69,93.68,99.34,100.0,65.9,58.1,69.96,86.69,93.68,99.34,100.0,98.22,97.97,0.0
