model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
NCNC,0,7.45,26.13,60.51,72.61,87.09,94.36,27.5,7.45,26.13,60.51,72.61,87.09,94.36,98.66,98.55,94.7
NCNC,1,6.68,25.23,52.8,68.14,83.66,92.06,19.52,6.68,25.23,52.8,68.14,83.66,92.06,98.65,98.22,94.36
NCNC,2,11.69,17.64,57.63,69.0,84.21,93.77,30.45,11.69,17.64,57.63,69.0,84.21,93.77,98.67,98.53,94.36
NCNC,3,11.91,21.07,38.81,70.22,82.67,91.43,19.21,11.91,21.07,38.81,70.22,82.67,91.43,98.35,98.16,94.02
NCNC,4,3.34,13.81,57.27,66.47,82.13,92.64,14.85,3.34,13.81,57.27,66.47,82.13,92.64,98.39,98.05,93.91
NeoGNN,0,30.01,38.54,54.2,70.58,84.21,90.21,36.23,30.01,38.54,54.2,70.58,84.21,90.21,98.19,98.18,82.13
NeoGNN,0,34.39,38.85,52.08,60.79,79.06,87.55,38.75,34.39,38.85,52.08,60.79,79.06,87.55,97.94,97.92,77.73
NeoGNN,1,16.65,26.81,50.72,59.39,81.05,91.7,28.77,16.65,26.81,50.72,59.39,81.05,91.7,98.14,98.05,77.57
NeoGNN,0,25.18,36.87,52.21,64.8,74.19,84.43,34.89,25.18,36.87,52.21,64.8,74.19,84.43,97.27,97.4,79.51
NeoGNN,0,26.9,36.28,50.05,57.45,64.03,72.02,31.36,26.9,36.28,50.05,57.45,64.03,72.02,91.74,93.63,80.82
NeoGNN,0,27.39,41.29,49.5,70.8,84.34,90.57,36.14,27.39,41.29,49.5,70.8,84.34,90.57,97.37,97.76,86.3
NeoGNN,1,7.54,33.17,48.38,60.42,76.35,89.21,25.9,7.54,33.17,48.38,60.42,76.35,89.21,98.23,98.1,78.16
NeoGNN,1,9.97,34.21,50.27,56.27,65.75,73.83,24.65,9.97,34.21,50.27,56.27,65.75,73.83,92.4,94.05,77.32
NeoGNN,2,33.57,31.95,53.93,61.78,72.07,87.5,39.98,33.57,31.95,53.93,61.78,72.07,87.5,97.94,97.79,78.18
NeoGNN,3,21.48,36.01,46.07,56.68,74.1,82.49,27.79,21.48,36.01,46.07,56.68,74.1,82.49,96.48,96.75,77.37
NeoGNN,2,26.08,38.9,48.69,56.23,64.31,70.31,31.83,26.08,38.9,48.69,56.23,64.31,70.31,92.33,93.82,78.05
NeoGNN,3,28.34,32.4,44.68,51.9,60.15,66.74,32.72,28.34,32.4,44.68,51.9,60.15,66.74,90.58,92.47,77.41
NeoGNN,4,18.82,22.97,44.68,55.69,61.51,68.5,22.66,18.82,22.97,44.68,55.69,61.51,68.5,89.7,92.31,78.59
ft-MLP-minilm,0,14.98,34.21,51.31,64.98,79.78,88.09,26.95,14.98,34.21,51.31,64.98,79.78,88.09,98.02,97.93,0.0
NeoGNN,0,18.55,36.87,51.13,58.71,66.06,70.76,38.69,18.55,36.87,51.13,58.71,66.06,70.76,95.73,95.79,78.95
NeoGNN,4,16.74,37.5,48.87,64.4,75.68,88.67,29.78,16.74,37.5,48.87,64.4,75.68,88.67,97.82,97.65,77.44
ft-MLP-minilm,1,10.33,29.69,43.77,57.13,75.95,88.49,23.84,10.33,29.69,43.77,57.13,75.95,88.49,97.83,97.64,0.0
ft-MLP-minilm,2,15.39,21.25,45.89,54.69,78.29,88.09,24.18,15.39,21.25,45.89,54.69,78.29,88.09,97.85,97.67,0.0
ft-MLP-minilm,3,1.04,11.37,36.15,50.68,70.04,84.21,11.2,1.04,11.37,36.15,50.68,70.04,84.21,97.18,96.69,0.0
ft-MLP-minilm,4,2.75,27.39,43.32,52.71,75.27,85.11,17.76,2.75,27.39,43.32,52.71,75.27,85.11,97.34,97.08,0.0
ft-MLP-minilm,0,8.08,32.72,51.35,61.24,78.38,87.32,23.65,8.08,32.72,51.35,61.24,78.38,87.32,97.61,97.55,0.0
NeoGNN,1,13.04,37.27,46.39,57.58,64.94,72.52,26.32,13.04,37.27,46.39,57.58,64.94,72.52,95.31,95.62,77.96
ft-MLP-minilm,1,3.61,19.81,28.7,59.48,74.01,84.93,15.6,3.61,19.81,28.7,59.48,74.01,84.93,97.45,97.09,0.0
ft-MLP-minilm,2,3.61,19.4,39.49,59.88,75.95,85.88,17.65,3.61,19.4,39.49,59.88,75.95,85.88,97.68,97.4,0.0
ft-MLP-minilm,3,4.69,15.84,25.45,42.87,67.73,79.6,14.19,4.69,15.84,25.45,42.87,67.73,79.6,96.59,96.09,0.0
NeoGNN,2,32.45,39.08,48.24,56.77,63.81,67.92,37.1,32.45,39.08,48.24,56.77,63.81,67.92,96.07,96.07,77.32
ft-MLP-minilm,4,4.83,14.35,32.72,57.85,72.43,84.52,14.48,4.83,14.35,32.72,57.85,72.43,84.52,97.26,96.93,0.0
NeoGNN,1,8.44,37.18,47.38,75.09,84.12,88.85,31.3,8.44,37.18,47.38,75.09,84.12,88.85,96.96,97.34,85.85
NeoGNN,3,27.57,32.08,46.03,57.08,67.1,73.38,32.26,27.57,32.08,46.03,57.08,67.1,73.38,95.56,95.72,77.3
ft-MLP-minilm,0,3.25,33.8,56.23,68.41,83.3,89.62,20.74,3.25,33.8,56.23,68.41,83.3,89.62,98.34,98.15,0.0
NeoGNN,4,15.57,26.76,43.68,60.11,66.52,71.25,28.12,15.57,26.76,43.68,60.11,66.52,71.25,94.31,95.08,76.94
ft-MLP-minilm,1,15.52,27.57,51.53,65.16,78.93,88.63,26.04,15.52,27.57,51.53,65.16,78.93,88.63,98.01,97.9,0.0
ft-MLP-minilm,2,4.87,18.55,47.97,63.49,82.54,90.52,16.68,4.87,18.55,47.97,63.49,82.54,90.52,98.1,97.86,0.0
ft-MLP-e5-large,3,16.88,22.92,49.5,57.08,78.07,86.1,23.86,16.88,22.92,49.5,57.08,78.07,86.1,97.89,97.63,0.0
ft-MLP-e5-large,4,8.03,11.42,31.99,52.98,74.46,88.36,15.64,8.03,11.42,31.99,52.98,74.46,88.36,97.69,97.25,0.0
