model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ELPH,4,10.42,14.44,40.16,42.37,52.08,73.47,20.12,10.42,14.44,40.16,42.37,52.08,73.47,95.38,95.08,88.22
NeoGNN,0,19.81,35.47,52.62,60.47,76.13,83.71,29.35,19.81,35.47,52.62,60.47,76.13,83.71,97.74,97.81,80.66
NeoGNN,1,8.71,46.57,54.74,60.15,76.53,86.51,27.6,8.71,46.57,54.74,60.15,76.53,86.51,97.81,97.8,79.36
NeoGNN,2,29.69,37.82,47.07,55.78,73.29,83.39,36.88,29.69,37.82,47.07,55.78,73.29,83.39,97.72,97.68,76.13
NeoGNN,3,25.72,35.74,50.32,60.74,75.9,85.74,33.98,25.72,35.74,50.32,60.74,75.9,85.74,97.76,97.56,77.37
NeoGNN,4,20.53,38.81,51.44,58.08,63.99,66.88,29.37,20.53,38.81,51.44,58.08,63.99,66.88,82.44,83.6,77.8
MLP-llama,0,9.48,14.12,56.09,64.4,80.55,88.45,25.18,9.48,14.12,56.09,64.4,80.55,88.45,98.04,97.89,93.48
MLP-llama,1,11.15,18.41,54.78,63.13,81.59,89.35,21.1,11.15,18.41,54.78,63.13,81.59,89.35,98.14,98.07,93.28
MLP-llama,2,11.01,28.75,52.89,65.03,78.61,89.44,23.12,11.01,28.75,52.89,65.03,78.61,89.44,98.18,98.03,93.75
MLP-llama,3,18.82,28.25,57.18,68.32,79.29,89.4,28.43,18.82,28.25,57.18,68.32,79.29,89.4,97.93,97.95,93.25
MLP-llama,4,4.74,26.13,52.39,66.97,79.33,88.4,16.52,4.74,26.13,52.39,66.97,79.33,88.4,98.14,98.0,93.21
MLP-minilm,0,0.0,45.45,77.27,90.91,100.0,100.0,24.21,0.0,45.45,77.27,90.91,100.0,100.0,66.53,66.4,63.64
MLP-minilm,0,2.27,11.36,29.55,47.73,100.0,100.0,13.32,2.27,11.36,29.55,47.73,100.0,100.0,57.21,59.29,54.54
