Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
arxiv_2023_runnbugbirh_NeoGNN_hyper04yay0cz,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,64,16,0.3,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperd1g3534o,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,64,16,0.3,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperu4g1mqr2,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,128,16,0.0,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperbxdjfg58,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,128,16,0.0,256,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyper3ks2hn6m,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,128,16,0.0,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperym1bxae8,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,128,16,0.0,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperqfbwtdnf,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,128,16,0.0,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hypersl229uep,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,128,16,0.0,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyper1mgfqhci,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.5,85.26,128,2,128,16,0.1,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperka7i8hc9,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.4,85.26,128,2,128,16,0.1,256,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperj5hj651k,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.4,85.26,128,2,128,16,0.1,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperiaug3nl9,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.4,85.26,128,2,128,16,0.1,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperihjih982,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.4,85.26,128,2,128,16,0.1,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyper6qfnmv8j,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.4,85.26,128,2,128,16,0.1,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperbhhghvob,15.85,59.8,64.85,70.15,71.74,73.6,28.96,15.85,59.8,64.85,70.15,72.52,73.6,86.42,90.4,85.26,128,2,128,16,0.3,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperq1ahf0y3,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.42,90.4,85.26,128,2,128,16,0.3,256,0.001
arxiv_2023_runnbugbirh_NeoGNN_hypersgcp7zn3,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.42,90.4,85.26,128,2,128,16,0.3,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperi0pklity,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.42,90.4,85.26,128,2,128,16,0.3,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperamle944z,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.42,90.4,85.26,128,2,128,16,0.3,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperp0th5xcm,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.42,90.4,85.26,128,2,128,16,0.3,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperfnp24fkv,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.42,90.4,85.26,128,2,64,32,0.0,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyper4v5y6utr,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.0,256,0.001
arxiv_2023_runnbugbirh_NeoGNN_hypers496lv5e,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.0,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperf76t6dko,15.85,59.8,64.85,70.15,71.74,73.34,28.96,15.85,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.0,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperim7cqzqb,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.0,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hypertbaumzhf,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.0,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyper5beq46kx,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.1,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyper990uxu59,16.42,59.8,64.85,70.15,71.74,73.34,28.41,16.42,59.8,64.85,70.15,72.52,73.34,86.29,90.09,85.26,128,2,64,32,0.1,256,0.001
