Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
cora_runyn96h8ak_NCN_hyper2uupqh76,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.0001,0.001,64,2048
cora_runyn96h8ak_NCN_hypervuhgkrju,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.0001,0.0001,64,2048
cora_runyn96h8ak_NCN_hyperyu209sj1,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.001,0.001,64,256
cora_runyn96h8ak_NCN_hypereeeieu62,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.001,0.0001,64,256
cora_runyn96h8ak_NCN_hyper91y9ps8c,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.0001,0.001,64,256
cora_runyn96h8ak_NCN_hypergfu5x4ub,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.0001,0.0001,64,256
cora_runyn96h8ak_NCN_hypermekmhoj5,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.001,0.001,64,512
cora_runyn96h8ak_NCN_hyper9xpqe7hf,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.001,0.0001,64,512
cora_runyn96h8ak_NCN_hyper3c7wbrda,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.0001,0.001,64,512
cora_runyn96h8ak_NCN_hyperdmutemmb,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.0001,0.0001,64,512
cora_runyn96h8ak_NCN_hypero5c195dv,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.001,0.001,64,1024
cora_runyn96h8ak_NCN_hyper51tueh8g,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.05,0.0,0.001,0.0001,64,1024
