model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-bert,2,0.0,5.14,8.3,13.44,40.71,71.15,5.63,0.0,5.14,8.3,13.44,40.71,71.15,69.86,70.07,64.03
MLP-bert,3,0.4,6.72,11.46,22.92,37.15,64.03,7.83,0.4,6.72,11.46,22.92,37.15,64.03,69.55,66.73,65.61
MLP-bert,4,0.0,7.51,11.86,24.51,39.92,67.19,8.64,0.0,7.51,11.86,24.51,39.92,67.19,70.1,69.23,63.64
MLP-e5-large,0,0.79,33.99,48.22,69.57,80.63,91.7,30.59,0.79,33.99,48.22,69.57,80.63,91.7,89.83,90.18,65.81
MLP-e5-large,1,3.16,32.02,57.71,64.43,82.21,93.68,31.78,3.16,32.02,57.71,64.43,82.21,93.68,89.71,90.24,79.64
MLP-e5-large,2,0.0,32.02,48.22,62.45,80.24,91.7,31.01,0.0,32.02,48.22,62.45,80.24,91.7,89.42,89.96,63.83
MLP-e5-large,3,0.0,26.09,55.34,65.22,81.03,92.89,29.33,0.0,26.09,55.34,65.22,81.03,92.89,89.65,89.94,65.02
MLP-e5-large,4,0.79,28.46,56.92,65.22,82.21,92.09,29.03,0.79,28.46,56.92,65.22,82.21,92.09,89.77,90.21,77.07
MLP-llama,0,13.04,17.0,43.48,49.8,81.42,91.7,18.54,13.04,17.0,43.48,49.8,77.87,91.7,89.01,88.25,79.45
MLP-llama,1,14.23,18.97,30.43,43.87,83.79,94.07,17.92,14.23,18.97,32.41,52.17,76.68,94.07,88.76,85.78,79.05
MLP-llama,2,16.21,17.39,39.53,53.75,80.63,94.07,20.35,16.21,17.39,39.53,53.75,80.63,94.07,87.88,86.32,79.45
MLP-llama,3,15.42,22.92,34.78,59.29,79.84,95.26,22.08,15.42,22.92,34.78,59.29,79.84,95.26,88.81,87.48,78.26
MLP-llama,4,5.14,12.65,35.57,52.96,82.61,95.26,21.71,5.14,12.65,35.57,52.96,82.61,95.26,89.02,87.89,80.24
MLP-minilm,0,5.53,9.09,19.76,29.64,46.64,68.38,11.32,5.53,9.09,19.76,29.64,46.64,68.38,72.96,73.25,62.85
MLP-minilm,1,7.51,8.7,16.6,28.85,48.62,70.75,12.36,7.51,8.7,16.6,28.85,48.62,70.75,72.87,73.29,60.08
MLP-minilm,2,4.35,9.88,18.18,24.51,52.17,71.54,10.14,4.35,9.88,18.18,24.51,52.17,71.54,73.61,73.0,66.4
MLP-minilm,3,6.32,15.42,21.34,28.46,43.48,68.77,12.69,6.32,15.42,21.34,28.46,43.48,68.77,72.2,72.88,61.26
MLP-minilm,4,9.09,13.83,20.95,23.72,51.78,72.73,13.64,9.09,13.83,20.95,23.72,51.78,72.73,75.73,75.14,59.88
MLP-bert,0,0.0,9.09,14.62,21.74,33.2,59.29,6.6,0.0,9.09,14.62,21.74,33.2,59.29,63.7,65.49,58.7
MLP-bert,1,0.0,5.93,15.42,21.74,37.55,59.68,5.03,0.0,5.93,15.42,21.74,37.55,58.5,62.83,65.27,57.71
MLP-bert,2,1.58,3.56,11.86,20.55,33.6,62.45,4.45,1.58,3.56,11.86,20.55,33.6,62.45,63.74,64.58,59.49
MLP-bert,3,0.79,5.14,16.21,22.13,46.25,67.98,4.41,0.79,5.14,16.21,22.13,46.25,67.98,67.13,67.65,62.25
MLP-bert,4,0.4,4.74,15.02,25.69,35.18,58.1,4.52,0.4,4.74,15.02,25.69,35.18,58.1,65.29,65.76,60.28
MLP-e5-large,0,4.35,6.72,9.88,16.6,41.11,57.71,8.67,4.35,6.72,9.88,16.6,41.11,57.71,64.04,65.51,56.13
MLP-e5-large,1,4.35,5.93,12.65,17.0,40.71,58.5,8.65,4.35,5.93,12.65,17.0,40.71,58.5,63.72,65.5,56.72
MLP-e5-large,2,5.53,5.93,9.09,17.0,41.11,57.71,7.71,5.53,5.93,9.09,17.0,41.11,57.71,64.55,66.23,59.68
MLP-e5-large,3,4.35,6.72,12.25,19.37,35.18,55.73,8.68,4.35,6.72,12.25,19.37,35.18,55.73,64.28,65.79,58.89
MLP-e5-large,4,4.35,6.72,8.3,20.16,39.53,55.34,8.21,4.35,6.72,8.3,20.16,39.53,55.34,64.17,65.75,60.28
MLP-llama,0,5.14,14.62,40.71,52.96,77.08,89.33,14.57,5.14,14.62,40.71,52.96,77.08,89.33,88.23,85.94,78.66
MLP-llama,1,2.77,18.58,32.02,52.96,78.66,92.49,16.25,2.77,18.58,32.02,52.96,78.66,92.49,88.19,86.66,81.42
MLP-llama,2,9.88,13.83,41.9,58.5,75.49,93.68,19.81,9.88,13.83,41.9,58.5,75.49,93.68,87.56,87.56,78.06
MLP-llama,3,4.74,10.67,35.18,54.55,76.28,92.89,13.06,4.74,10.67,35.18,54.55,76.28,92.89,86.79,84.99,79.45
MLP-llama,4,4.74,21.34,39.53,59.29,81.42,95.26,17.61,4.74,21.34,39.53,59.29,81.42,95.26,89.57,86.25,78.85
MLP-minilm,0,24.51,28.46,52.96,66.01,81.82,94.47,32.65,24.51,28.46,52.96,66.01,81.82,94.47,90.36,90.63,79.84
MLP-minilm,1,24.9,31.23,57.31,65.61,81.03,92.89,33.73,24.9,31.23,57.31,65.61,81.03,92.89,89.84,90.4,79.25
MLP-minilm,2,22.92,29.64,55.73,64.43,81.03,93.28,31.76,22.92,29.64,55.73,64.43,81.03,93.28,90.16,90.49,80.83
MLP-minilm,3,19.37,33.6,56.52,67.19,80.63,94.47,31.15,19.37,33.6,56.52,67.19,80.63,94.47,90.38,90.76,78.66
MLP-minilm,4,17.79,26.09,44.66,61.66,79.84,93.68,27.67,17.79,26.09,44.66,61.66,79.84,93.68,89.77,89.87,79.64
MLP-bert,0,5.53,6.32,15.42,20.16,37.55,63.64,8.33,5.53,6.32,15.42,20.16,37.55,63.64,65.87,66.4,60.47
MLP-bert,1,3.16,5.93,13.44,23.32,39.53,67.19,7.64,3.16,5.93,13.44,23.32,39.53,67.19,67.26,66.74,63.83
MLP-bert,2,4.35,6.32,13.44,21.34,39.13,64.43,7.33,4.35,6.32,13.44,21.34,39.13,64.43,66.06,66.56,58.89
MLP-bert,3,3.95,4.35,12.25,23.32,36.76,69.17,7.34,3.95,4.35,12.25,23.32,36.76,69.17,68.45,65.21,63.24
MLP-bert,4,3.56,6.72,17.39,24.9,39.53,67.98,8.17,3.56,6.72,17.39,24.9,39.53,67.98,66.51,67.5,61.07
MLP-e5-large,0,0.79,4.35,19.37,27.27,41.5,61.66,6.51,0.79,4.35,19.37,27.67,41.9,61.66,66.81,67.71,61.66
MLP-e5-large,1,2.37,12.65,24.11,33.99,43.48,61.26,10.24,2.37,12.65,24.11,33.99,43.48,61.26,68.97,71.73,61.46
MLP-e5-large,2,5.93,13.44,25.3,40.71,55.73,72.33,13.52,5.93,13.44,25.3,40.71,55.73,71.94,74.02,76.18,64.62
MLP-e5-large,3,5.53,7.51,23.32,28.06,50.99,78.26,10.84,5.53,7.51,23.32,28.06,50.99,78.26,74.76,74.55,67.98
MLP-e5-large,4,1.98,10.67,22.92,29.64,49.8,64.82,9.06,1.98,10.67,22.92,29.64,50.59,65.61,68.15,71.14,63.83
MLP-llama,0,6.32,13.04,50.2,71.94,88.14,94.86,21.61,6.32,13.04,50.2,71.94,88.14,94.86,91.2,90.8,84.78
MLP-llama,1,7.91,35.97,48.22,64.43,87.35,94.86,32.83,7.91,35.97,48.22,64.43,87.35,94.86,90.81,90.8,84.78
MLP-llama,2,9.88,20.55,57.71,67.19,91.3,96.44,27.46,9.88,20.55,57.71,67.19,91.3,96.44,92.01,91.65,83.99
MLP-llama,3,9.88,11.46,44.27,72.33,90.12,94.47,30.61,9.88,11.46,44.27,72.33,90.12,94.47,91.13,91.52,83.6
MLP-llama,4,15.81,24.11,54.55,73.12,87.35,96.05,28.68,15.81,24.11,54.55,73.12,87.35,96.05,91.42,91.0,84.98
MLP-minilm,0,7.11,7.91,12.25,18.18,33.99,56.92,9.18,7.11,7.91,12.25,18.18,33.99,56.92,63.12,64.69,55.34
MLP-minilm,1,7.51,7.51,13.44,20.16,34.39,56.52,10.05,7.51,7.51,13.44,20.16,34.39,56.52,63.23,65.03,57.12
MLP-minilm,2,7.91,10.28,14.23,19.76,34.78,56.13,9.43,7.91,10.28,14.23,19.76,34.78,56.13,62.61,64.39,56.32
MLP-minilm,3,6.32,8.3,14.23,18.97,32.41,58.1,9.2,6.32,8.3,14.23,18.97,32.41,58.1,62.39,64.21,57.31
MLP-minilm,4,6.32,9.09,13.04,18.58,35.18,61.26,9.47,6.32,9.09,13.04,18.58,35.18,61.26,62.72,64.47,56.52
MLP-bert,0,5.14,7.51,13.83,24.11,42.29,67.19,9.34,5.14,7.51,13.83,24.11,42.29,67.19,67.74,68.23,63.04
MLP-bert,1,4.74,7.51,14.23,22.13,40.71,66.4,8.41,4.74,7.51,14.23,22.13,40.71,66.4,66.9,68.38,62.45
MLP-bert,2,6.72,10.28,13.83,23.32,45.85,64.03,9.76,6.72,10.28,13.83,23.32,45.85,64.03,68.13,68.41,61.66
MLP-bert,3,5.14,9.88,13.83,22.53,39.13,67.98,9.25,5.14,9.88,13.83,22.53,39.13,67.98,69.06,68.95,62.65
MLP-bert,4,5.14,10.28,15.02,23.32,36.76,67.19,9.55,5.14,10.28,15.02,23.32,36.76,67.19,68.32,68.66,62.25
MLP-e5-large,0,2.77,11.07,18.58,24.51,41.9,65.22,12.29,2.77,11.07,18.58,24.51,41.9,65.22,68.44,70.23,53.16
MLP-e5-large,1,7.91,10.28,20.95,27.27,43.48,62.45,12.43,7.91,10.28,20.95,27.27,43.48,62.45,69.17,71.34,61.86
MLP-e5-large,2,2.77,5.93,18.58,27.27,41.11,62.06,12.47,2.77,5.93,18.58,27.27,41.11,62.06,68.4,70.43,55.34
MLP-e5-large,3,2.37,10.67,19.76,27.27,40.71,60.47,11.72,2.37,10.67,19.76,27.27,40.71,60.47,67.82,69.94,55.34
MLP-e5-large,4,2.37,12.65,18.58,22.92,41.5,64.82,12.23,2.37,12.65,18.58,22.92,41.5,64.82,68.91,71.07,59.68
MLP-llama,0,20.55,31.23,56.52,64.03,82.61,91.7,29.23,20.55,31.23,56.52,64.03,82.61,91.7,90.09,89.28,81.82
MLP-llama,1,14.23,30.43,45.06,67.19,85.38,93.68,30.47,14.23,30.43,45.06,67.19,85.38,93.68,89.56,89.55,80.44
MLP-llama,2,17.79,20.95,47.43,56.52,82.21,93.68,27.96,17.79,20.95,47.43,56.52,82.21,93.68,88.73,88.38,81.62
MLP-llama,3,18.18,31.23,48.62,65.22,80.63,94.86,27.85,18.18,31.23,48.62,65.22,80.63,94.86,89.82,90.01,82.02
MLP-llama,4,22.13,27.67,47.04,64.03,83.4,95.65,34.63,22.13,27.67,47.04,64.03,83.4,95.65,90.32,90.44,81.03
MLP-llama,0,2.37,9.49,19.76,25.69,37.94,54.55,8.24,2.37,9.49,19.76,25.69,37.94,54.55,62.81,67.15,60.08
MLP-llama,0,3.56,9.49,19.37,23.72,36.36,52.96,6.88,3.56,9.49,19.37,23.72,36.36,52.96,60.13,64.8,58.7
NCN,0,18.18,58.1,80.24,88.93,95.26,98.42,55.61,18.18,58.1,80.24,88.93,95.26,98.42,96.53,96.89,90.32
NCNC,0,26.09,61.26,78.66,85.77,96.84,98.81,62.84,26.09,61.26,78.66,85.77,96.84,98.81,96.24,96.65,89.13
MLP-llama,0,11.07,24.51,49.8,70.36,90.12,95.65,19.13,11.07,24.51,49.8,70.36,90.12,95.65,92.1,91.03,85.38
NCN,0,35.57,65.22,79.84,88.14,94.86,98.02,59.5,35.57,65.22,79.84,88.14,94.86,98.02,96.23,96.78,90.71
NCNC,0,26.09,59.29,77.08,86.96,96.05,99.6,40.75,26.09,59.29,77.08,86.96,96.05,99.6,96.67,96.65,90.51
MLP-llama,0,2.37,33.2,49.01,68.77,89.33,96.84,23.69,2.37,33.2,49.01,68.77,89.33,96.84,92.07,91.2,84.19
NCN,0,43.08,71.15,81.42,90.91,96.05,98.42,50.86,43.08,71.15,81.42,90.91,96.05,98.42,96.75,97.08,90.71
NCN,1,47.04,71.15,87.35,90.12,95.65,98.42,61.63,47.04,71.15,87.35,90.12,95.65,98.42,97.41,97.67,91.5
NCN,2,8.7,44.66,79.05,90.51,95.26,98.42,33.47,8.7,44.66,79.05,90.51,95.26,98.42,96.43,95.98,90.71
NCN,3,15.81,54.55,79.84,88.14,96.05,98.02,38.53,15.81,54.55,79.84,88.14,96.05,98.02,96.48,96.18,90.32
NCN,4,37.15,47.83,79.84,92.89,98.02,99.6,48.47,37.15,47.83,79.84,92.89,98.02,99.6,97.59,97.4,92.29
NCN,0,46.25,69.57,77.87,87.75,94.47,98.02,56.48,46.25,69.57,77.87,87.75,94.47,98.02,96.03,96.8,90.12
NCN,1,51.78,60.87,83.79,88.54,95.26,99.6,60.53,51.78,60.87,83.79,88.54,95.26,99.6,96.52,97.23,91.3
NCN,2,18.18,45.06,81.42,90.51,93.68,98.02,35.78,18.18,45.06,81.42,90.51,93.68,98.02,96.05,94.94,90.91
NCN,3,28.46,52.57,82.21,86.96,95.65,98.02,43.35,28.46,52.57,82.21,86.96,95.65,98.02,95.99,96.47,90.32
NCN,4,43.08,60.08,80.24,90.91,95.65,97.63,51.98,43.08,60.08,80.24,90.91,95.65,97.63,96.54,96.71,90.12
MLP-minilm,0,0.4,5.93,13.04,20.95,34.78,55.73,4.95,0.4,5.93,13.04,20.95,34.78,55.73,60.07,62.12,56.92
MLP-bert,0,0.4,2.37,4.74,11.07,20.16,40.32,3.04,0.4,2.37,4.74,11.07,20.16,40.32,51.91,52.84,50.79
MLP-e5-large,0,0.4,1.19,2.77,6.32,20.16,38.34,2.08,0.4,1.19,2.77,6.32,20.16,38.34,48.51,49.16,49.01
MLP-llama,0,0.4,2.77,6.72,13.44,30.83,54.15,3.41,0.4,2.77,6.72,13.44,30.83,54.15,60.13,58.72,50.59
NeoGNN,0,5.14,30.04,66.8,72.73,78.26,89.72,21.8,5.14,30.04,66.8,72.73,78.26,89.72,88.07,89.65,81.03
ft-MLP-minilm,0,8.3,27.27,43.48,65.22,79.84,86.17,22.15,8.3,27.27,43.48,65.22,79.84,86.17,86.02,87.37,0.0
ft-MLP-minilm,0,19.76,36.76,52.57,68.77,81.82,88.14,31.49,19.76,36.76,52.57,68.77,81.82,88.14,88.3,89.79,0.0
ft-MLP-minilm,0,21.74,37.94,52.96,69.17,81.82,88.54,33.35,21.74,37.94,52.96,69.17,81.82,88.54,88.37,89.94,0.0
ft-MLP-minilm,1,17.79,22.92,52.96,61.26,77.47,86.56,26.91,17.79,22.92,52.96,61.26,77.47,86.56,86.46,87.98,0.0
ft-MLP-minilm,2,15.02,29.25,57.31,62.06,78.26,90.91,25.14,15.02,29.25,57.31,62.06,78.26,90.91,87.86,88.62,0.0
ft-MLP-minilm,0,13.83,41.11,69.17,79.84,91.7,96.05,32.12,13.83,41.11,69.17,79.84,91.7,96.05,93.88,93.87,0.0
ft-MLP-minilm,1,13.44,43.87,71.54,79.84,92.09,95.26,33.53,13.44,43.87,71.54,79.84,92.09,95.26,93.37,93.76,0.0
ft-MLP-minilm,2,42.29,46.25,62.06,78.26,93.28,96.84,48.84,42.29,46.25,62.06,78.26,93.28,96.84,94.39,94.61,0.0
ft-MLP-minilm,3,13.04,23.72,68.38,81.03,92.09,96.44,28.3,13.04,23.72,68.38,81.03,92.09,96.44,94.13,93.69,0.0
ft-MLP-minilm,4,22.13,34.39,68.38,85.77,94.86,99.21,32.59,22.13,34.39,68.38,85.77,94.86,99.21,95.24,94.54,0.0
ft-MLP-minilm,0,3.56,5.14,9.88,15.81,32.81,62.45,6.73,3.56,5.14,9.88,15.81,32.81,62.45,66.21,64.83,0.0
BUDDY,0,12.65,29.64,64.43,73.12,90.91,97.63,25.98,12.65,29.64,64.43,73.12,90.91,97.63,93.62,92.17,80.83
BUDDY,1,41.11,39.13,72.33,82.21,91.7,99.21,38.62,41.11,39.13,72.33,82.21,91.7,99.21,95.51,95.38,84.58
BUDDY,2,11.07,17.79,63.64,76.68,88.54,97.23,23.67,11.07,17.79,63.64,76.68,88.54,97.23,93.32,91.95,77.47
BUDDY,0,33.2,33.6,74.7,73.91,90.12,96.05,44.9,33.2,33.6,74.7,73.91,90.12,96.05,93.28,93.55,84.98
BUDDY,1,36.36,71.54,74.31,84.19,92.89,97.63,49.93,36.36,71.54,74.31,84.19,92.89,97.63,95.33,95.73,87.75
BUDDY,2,29.25,51.38,69.17,81.03,92.89,97.63,42.88,29.25,51.38,69.17,81.03,92.89,97.63,94.88,95.0,85.77
BUDDY,3,3.95,31.23,65.61,83.0,91.7,96.84,21.16,3.95,31.23,65.61,83.0,91.7,96.84,94.35,93.83,75.89
BUDDY,3,16.21,34.78,60.08,80.24,92.89,98.02,28.16,16.21,34.78,60.08,80.24,92.89,98.02,93.55,92.51,70.95
BUDDY,4,30.43,54.15,69.17,87.75,94.47,99.6,46.36,30.43,54.15,69.17,87.75,94.47,99.6,95.87,95.91,85.97
BUDDY,0,9.88,50.2,62.85,77.47,92.09,98.81,28.72,9.88,50.2,62.85,77.47,92.09,98.81,93.96,92.13,67.79
BUDDY,1,36.76,40.32,65.22,75.89,90.12,98.02,45.42,36.76,40.32,65.22,75.89,90.12,98.02,94.51,94.54,84.19
BUDDY,4,7.51,33.6,68.38,83.4,92.09,95.26,29.07,7.51,33.6,68.38,83.4,92.09,95.26,93.83,93.53,81.82
BUDDY,2,39.13,47.43,56.92,73.12,92.09,97.23,46.27,39.13,47.43,56.92,73.12,92.09,97.23,94.07,94.29,80.83
BUDDY,3,7.11,35.57,56.92,74.7,92.89,97.23,26.47,7.11,35.57,56.92,74.7,92.89,97.23,92.8,92.61,85.18
BUDDY,4,8.7,21.74,76.28,83.0,93.68,98.02,24.06,8.7,21.74,76.28,83.0,93.68,98.02,94.83,94.22,88.34
BUDDY,0,4.74,9.88,28.85,37.55,60.08,77.08,10.32,4.74,9.88,28.85,37.55,60.08,77.08,76.23,77.7,55.53
BUDDY,1,6.72,14.23,29.64,43.08,69.96,84.19,14.36,6.72,14.23,29.64,43.08,69.96,84.19,81.89,81.5,64.82
BUDDY,2,7.91,11.46,27.27,43.08,64.43,80.63,15.2,7.91,11.46,27.27,43.08,64.43,80.63,79.95,81.14,59.29
BUDDY,3,4.35,9.88,20.16,31.23,55.34,81.42,12.96,4.35,9.88,20.16,31.23,55.34,81.42,78.2,77.42,67.59
BUDDY,4,18.97,23.32,29.64,52.96,66.8,83.79,20.37,18.97,23.32,29.64,52.96,66.8,83.79,81.85,83.85,59.49
NCN,0,42.69,49.8,56.52,60.08,71.15,80.63,46.76,42.69,49.8,56.52,60.08,71.15,80.63,82.86,87.15,73.91
NCN,1,49.01,54.94,66.8,70.75,76.28,85.38,51.19,49.01,54.94,66.8,70.75,76.28,85.38,87.8,90.88,77.87
NCN,2,11.07,43.48,57.31,62.85,71.15,82.21,28.21,11.07,43.48,57.31,62.85,71.15,82.21,84.28,87.62,75.49
NCN,3,36.36,52.57,57.31,60.47,68.38,78.66,44.93,36.36,52.57,57.31,60.47,68.38,78.66,82.3,86.6,75.89
NCN,4,40.71,51.78,58.1,66.8,78.26,87.75,45.78,40.71,51.78,58.1,66.8,78.26,87.75,87.33,89.97,77.07
NCN,0,40.71,75.89,82.61,91.7,95.26,98.02,55.72,40.71,75.89,82.61,91.7,95.26,98.02,96.86,97.31,93.28
NCN,1,62.06,68.77,86.96,93.68,95.65,99.6,68.73,62.06,68.77,86.96,93.68,95.65,99.6,97.77,97.97,92.29
NCN,2,7.91,52.96,80.63,89.33,94.07,98.42,28.58,7.91,52.96,80.63,89.33,94.07,98.42,96.09,96.09,90.12
NCN,3,38.74,50.59,75.49,90.51,96.84,98.81,47.08,38.74,50.59,75.49,90.51,96.84,98.81,96.21,96.06,90.32
NCN,4,33.99,43.48,82.61,88.93,96.05,99.21,48.14,33.99,43.48,82.61,88.93,96.05,99.21,96.69,96.78,90.91
NCNC,0,10.67,45.45,64.43,84.19,95.26,98.42,32.9,10.67,45.45,64.43,84.19,95.26,98.42,95.82,95.65,87.94
NCNC,1,34.78,11.46,72.33,89.72,95.65,99.6,36.01,34.78,11.46,72.33,89.72,95.65,99.6,96.5,96.56,86.76
NCNC,2,3.16,13.83,57.71,77.87,94.07,98.02,15.73,3.16,13.83,57.71,77.87,94.07,98.02,94.48,92.28,83.0
NCNC,3,14.23,26.88,71.54,88.54,96.84,99.21,27.74,14.23,26.88,71.54,88.54,96.84,99.21,95.35,93.99,87.15
NCNC,4,3.16,34.39,57.71,86.17,96.05,98.42,24.88,3.16,34.39,57.71,86.17,96.05,98.42,96.02,94.76,88.74
NCNC,0,48.22,64.03,84.58,88.93,94.47,98.81,51.54,48.22,64.03,84.58,88.93,94.47,98.81,97.07,97.42,91.7
NCNC,1,43.08,58.5,87.75,92.89,96.05,98.81,53.93,43.08,58.5,87.75,92.89,96.05,98.81,97.46,97.38,92.69
NCNC,2,21.74,41.9,67.19,89.33,95.65,98.02,34.81,21.74,41.9,67.19,89.33,95.65,98.02,96.01,94.78,90.91
NCNC,3,2.37,45.45,71.94,88.14,96.84,99.21,23.8,2.37,45.45,71.94,88.14,96.84,99.21,96.33,94.86,90.91
NCNC,4,10.67,49.8,77.08,94.86,97.63,99.21,30.71,10.67,49.8,77.08,94.86,97.63,99.21,97.23,96.69,93.48
NCNC,0,23.32,6.72,53.75,70.75,75.1,79.84,41.3,23.32,8.3,53.75,70.75,75.1,79.84,80.28,83.5,81.62
NCNC,1,0.0,4.35,56.13,72.33,77.47,84.58,12.05,0.0,4.35,56.13,72.33,77.47,84.58,83.72,89.19,82.41
NCNC,2,5.14,15.42,54.55,71.54,76.68,84.58,17.26,5.14,15.42,54.55,71.54,76.68,84.58,82.79,83.23,81.82
NCNC,3,23.72,40.32,63.24,73.91,79.84,87.35,35.4,23.72,40.32,63.24,73.91,79.84,87.35,87.76,89.1,83.2
NCNC,4,9.88,15.02,56.13,73.12,78.26,84.19,20.94,9.88,15.02,56.13,73.12,78.26,84.19,85.72,87.8,81.82
NCNC,0,48.22,9.88,83.0,87.75,96.84,98.42,50.81,48.22,9.88,83.0,87.75,96.84,98.42,96.81,97.19,90.51
NCNC,1,51.78,59.68,80.24,90.51,97.63,99.6,55.67,51.78,59.68,80.24,90.51,97.63,99.6,97.21,97.68,89.92
NCNC,2,16.21,32.81,66.8,86.56,94.86,98.42,32.18,16.21,32.81,66.8,86.56,94.86,98.42,95.73,95.96,89.92
NCNC,3,4.74,53.75,79.45,91.3,96.05,98.02,28.23,4.74,53.75,79.45,91.3,96.05,98.02,95.65,94.51,91.3
NCNC,4,7.91,47.83,71.94,85.38,95.26,99.6,29.24,7.91,47.83,71.94,85.38,95.26,99.6,96.16,95.61,89.72
ft-MLP-llama,0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
ft-MLP-llama,0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
ft-MLP-llama,0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
ft-MLP-llama,0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
ft-MLP-minilm,0,14.23,27.67,48.22,69.57,81.03,87.75,25.99,14.23,27.67,48.22,69.57,81.03,87.75,87.29,88.65,0.0
ft-MLP-minilm,1,15.02,21.74,51.38,63.64,76.68,86.56,24.42,15.02,21.74,51.38,63.64,76.68,86.56,85.49,87.26,0.0
ft-MLP-minilm,0,15.81,28.85,50.2,67.59,81.82,87.75,27.49,15.81,28.85,50.2,67.59,81.82,87.75,87.75,89.12,0.0
ft-MLP-minilm,0,7.11,26.48,41.11,60.87,79.45,85.77,21.18,7.11,26.48,41.11,60.87,79.45,85.77,85.33,86.71,0.0
ft-MLP-minilm,0,10.67,27.67,43.87,67.59,80.63,86.17,23.97,10.67,27.67,43.87,67.59,80.63,86.17,86.57,87.91,0.0
ft-MLP-minilm,1,12.65,24.51,50.59,64.82,73.91,84.19,23.04,12.65,24.51,50.59,64.82,73.91,84.19,84.76,86.69,0.0
ft-MLP-minilm,0,20.95,29.64,45.06,53.36,71.54,84.98,29.42,20.95,29.64,45.06,53.36,71.54,84.98,83.92,85.9,0.0
ft-MLP-minilm,0,20.95,29.64,45.06,53.36,71.54,84.98,29.42,20.95,29.64,45.06,53.36,71.54,84.98,83.92,85.9,0.0
ft-MLP-minilm,1,11.86,24.9,37.55,45.85,71.15,86.56,21.98,11.86,24.9,37.55,45.85,71.15,86.56,83.57,84.48,0.0
ft-MLP-minilm,1,11.86,24.9,37.55,45.85,71.15,86.56,21.98,11.86,24.9,37.55,45.85,71.15,86.56,83.57,84.48,0.0
ft-MLP-minilm,2,15.81,24.51,43.48,54.15,70.75,88.54,24.84,15.81,24.51,43.48,54.15,70.75,88.54,85.19,85.96,0.0
ft-MLP-minilm,3,0.79,22.92,43.08,56.52,76.68,88.14,15.16,0.79,22.92,43.08,56.52,76.68,88.14,85.41,85.32,0.0
ft-MLP-minilm,4,5.53,14.23,46.25,57.71,73.52,89.33,17.42,5.53,14.23,46.25,57.71,73.52,89.33,85.73,86.02,0.0
ft-MLP-minilm,0,7.51,26.88,44.27,63.24,78.66,86.96,21.75,7.51,26.88,44.27,63.24,78.66,86.96,85.86,87.19,0.0
ft-MLP-minilm,0,6.32,26.88,45.85,62.06,79.45,86.17,20.89,6.32,26.88,45.85,62.06,79.45,86.17,85.32,86.75,0.0
ft-MLP-minilm,0,11.46,26.88,46.64,67.19,80.63,86.96,24.28,11.46,26.88,46.64,67.19,80.63,86.96,86.9,88.21,0.0
ft-MLP-minilm,1,13.44,22.92,52.17,63.64,77.08,84.98,23.53,13.44,22.92,52.17,63.64,77.08,84.98,85.08,86.93,0.0
ft-MLP-minilm,0,19.37,35.57,52.96,68.38,81.42,88.14,31.05,19.37,35.57,52.96,68.38,81.42,88.14,88.23,89.69,0.0
ft-MLP-minilm,1,16.6,20.55,52.57,60.87,77.08,86.96,25.67,16.6,20.55,52.57,60.87,77.08,86.96,86.33,87.83,0.0
ft-MLP-minilm,2,15.42,28.85,55.34,62.45,75.89,91.7,25.35,15.42,28.85,55.34,62.45,75.89,91.7,87.63,88.5,0.0
ft-MLP-minilm,3,1.58,26.88,49.41,64.82,78.26,88.93,17.09,1.58,26.88,49.41,64.82,78.26,88.93,87.21,87.42,0.0
ft-MLP-minilm,4,7.51,28.85,49.41,62.45,84.58,92.49,19.79,7.51,28.85,49.41,62.45,84.58,92.49,89.23,88.86,0.0
ft-MLP-minilm,0,14.23,30.43,48.62,68.77,80.63,86.96,26.4,14.23,30.43,48.62,68.77,80.63,86.96,87.28,88.66,0.0
ft-MLP-minilm,0,9.09,27.67,43.08,67.19,79.84,85.77,22.97,9.09,27.67,43.08,67.19,79.84,85.77,86.32,87.64,0.0
NCN,0,47.04,64.43,77.47,85.77,95.26,97.63,61.78,47.04,64.43,77.47,85.77,95.26,97.63,96.02,96.44,88.74
NCN,1,47.83,69.96,85.38,89.72,97.63,99.6,65.27,47.83,69.96,85.38,89.72,97.63,99.6,97.46,97.6,92.1
NCN,2,15.81,52.96,82.21,87.35,90.91,95.65,28.46,15.81,52.96,82.21,87.35,90.91,95.65,94.64,95.12,88.93
NCN,3,34.78,39.13,77.08,84.98,92.49,98.81,45.01,34.78,39.13,77.08,84.98,92.49,98.81,95.63,95.65,88.14
