Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
pwc_small_runzn7fjguh_NCN_hypercesvla2p,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hyperjo287niv,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hypermxh0y5kx,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hyper83waspno,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hyperv9bu0pjv,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hypergnf5eijd,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,1024
pwc_small_runzn7fjguh_NCN_hypertoedjohd,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hyperwfh48bcm,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,1024
pwc_small_runzn7fjguh_NCN_hyperlnwtfzn1,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,2048
pwc_small_runzn7fjguh_NCN_hyper0zoyjwop,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,2048
pwc_small_runzn7fjguh_NCN_hyperxrkejbfm,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,2048
pwc_small_runzn7fjguh_NCN_hyperxv773gtd,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,70.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,2048
pwc_small_runzn7fjguh_NCN_hyperesc5btv2,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyper3ndri537,0.0,70.0,70.0,95.0,100.0,100.0,33.82,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hypervicsilzw,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,256
pwc_small_runzn7fjguh_NCN_hyperlunv37wb,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,256
pwc_small_runzn7fjguh_NCN_hyperp9ak9mut,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hypercx1ox5fa,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hyper4y8rif45,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,512
pwc_small_runzn7fjguh_NCN_hyper32e5ea6u,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,512
pwc_small_runzn7fjguh_NCN_hyperralhw45y,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hyper9zpnnmdf,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,1024
pwc_small_runzn7fjguh_NCN_hypernzabkl93,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,1024
pwc_small_runzn7fjguh_NCN_hyperflnnh0df,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,1024
pwc_small_runzn7fjguh_NCN_hyper16mwi6ie,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,2048
pwc_small_runzn7fjguh_NCN_hyperirilm107,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,2048
pwc_small_runzn7fjguh_NCN_hyperno6v381s,0.0,70.0,70.0,95.0,100.0,100.0,49.44,0.0,70.0,70.0,95.0,100.0,100.0,77.0,75.07,75.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,2048
