Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
cora_runo8sjdsmj_NCN_hyperqisxmkf7,35.57,50.99,77.87,85.77,94.47,98.42,58.67,35.57,50.99,77.87,85.77,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,512
cora_runo8sjdsmj_NCN_hypersanmwhdn,35.57,50.99,77.87,85.77,94.47,98.42,58.67,35.57,50.99,77.87,85.77,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyperrtk1l1mi,35.57,50.99,77.87,85.77,94.47,98.42,56.23,35.57,50.99,77.87,85.77,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,512
cora_runo8sjdsmj_NCN_hyperu1hsfotz,35.57,50.99,77.87,85.77,94.47,98.42,56.23,35.57,50.99,77.87,85.77,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,512
cora_runo8sjdsmj_NCN_hypert1raxe0w,35.57,50.99,77.87,85.77,94.47,98.42,56.23,35.57,50.99,77.87,85.77,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyperhalfbhvd,48.22,50.99,77.87,85.77,94.47,98.42,56.23,48.22,50.99,77.87,85.77,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyper5vh0h7v3,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyper66dr9quu,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyper55onlleg,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyperhsx6bdbv,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hyperx09kdq9a,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyperx0kwb4k3,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hypercjv92kui,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperzddfweig,48.22,50.99,77.87,83.79,94.47,98.42,56.23,48.22,50.99,77.87,83.79,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,256
