Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-minilm_hyperxe412fm8,34.69,45.39,57.2,68.63,86.35,92.25,41.68,34.69,45.39,57.2,68.63,86.35,92.25,92.12,92.42,82.66,0.01,64
cora_run<built-in function id>_MLP-minilm_hyper21ipfvzh,36.16,48.34,62.36,70.11,86.35,92.25,42.75,36.16,48.34,62.36,70.11,86.35,92.25,92.61,93.14,84.32,0.01,128
cora_run<built-in function id>_MLP-minilm_hyperp8dp71qk,28.41,48.34,62.36,70.11,84.13,95.2,38.5,28.41,48.34,62.36,70.11,84.13,95.2,91.84,92.53,83.76,0.01,256
cora_run<built-in function id>_MLP-minilm_hyperld1pnzqk,28.41,48.34,66.05,71.96,84.87,95.2,38.5,28.41,48.34,66.05,71.96,84.87,95.2,92.79,93.33,82.47,0.01,512
cora_run<built-in function id>_MLP-minilm_hypers6dig96c,28.41,48.34,66.05,71.96,85.24,95.2,38.5,28.41,48.34,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.01,1024
cora_run<built-in function id>_MLP-minilm_hyperu5tkzz4q,28.41,38.38,66.05,71.96,85.24,95.2,38.5,28.41,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.001,64
cora_run<built-in function id>_MLP-minilm_hyperwun0umif,28.41,38.38,66.05,71.96,85.24,95.2,38.5,28.41,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.001,128
cora_run<built-in function id>_MLP-minilm_hyper0paz33tk,19.93,38.38,66.05,71.96,85.24,95.2,38.5,19.93,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.001,256
cora_run<built-in function id>_MLP-minilm_hyper9s78s7hz,19.93,38.38,66.05,71.96,85.24,95.2,38.5,19.93,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.001,512
cora_run<built-in function id>_MLP-minilm_hypernz80060i,19.93,38.38,66.05,71.96,85.24,95.2,38.5,19.93,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.001,1024
cora_run<built-in function id>_MLP-minilm_hyperw6nwxy1o,19.93,38.38,66.05,71.96,85.24,95.2,38.5,19.93,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.0001,64
cora_run<built-in function id>_MLP-minilm_hyperpxgs6oc6,19.93,38.38,66.05,71.96,85.24,95.2,38.5,19.93,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.0001,128
cora_run<built-in function id>_MLP-minilm_hypercob6zxrr,19.93,38.38,66.05,71.96,85.24,95.2,38.5,19.93,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.0001,256
cora_run<built-in function id>_MLP-minilm_hyperpiqe16n3,19.93,38.38,66.05,71.96,85.24,95.2,38.5,19.93,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.0001,512
cora_run<built-in function id>_MLP-minilm_hyperbkceeb78,19.93,38.38,66.05,71.96,85.24,95.2,38.5,19.93,38.38,66.05,71.96,85.24,95.2,92.79,93.33,82.47,0.0001,1024
cora_run<built-in function id>_MLP-minilm_hyperf7ppeyf1,24.35,35.42,56.83,70.48,85.24,94.1,35.83,24.35,35.42,56.83,70.48,85.24,94.1,90.81,91.73,81.92,0.01,64
cora_run<built-in function id>_MLP-minilm_hypernyyzpmgj,29.89,35.42,56.83,70.48,85.24,91.51,38.14,29.89,35.42,56.83,70.48,85.24,91.51,92.19,92.55,83.76,0.01,128
cora_run<built-in function id>_MLP-minilm_hyper9chsggor,29.15,38.01,56.83,67.53,85.24,94.1,38.39,29.15,38.01,56.83,67.53,85.24,94.1,91.96,92.41,85.06,0.01,256
cora_run<built-in function id>_MLP-minilm_hyper81saucx6,29.15,46.13,60.89,67.53,85.24,96.31,38.39,29.15,46.13,60.89,67.53,85.24,96.31,92.5,92.85,83.21,0.01,512
cora_run<built-in function id>_MLP-minilm_hyperzede1cnh,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.01,1024
cora_run<built-in function id>_MLP-minilm_hyperqd14jn6r,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.001,64
cora_run<built-in function id>_MLP-minilm_hypert8fnai0i,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.001,128
cora_run<built-in function id>_MLP-minilm_hyper6md1uh46,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.001,256
cora_run<built-in function id>_MLP-minilm_hyperrlfxe6kr,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.001,512
cora_run<built-in function id>_MLP-minilm_hyperaub889xx,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.001,1024
cora_run<built-in function id>_MLP-minilm_hypervdwzspb1,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.0001,64
cora_run<built-in function id>_MLP-minilm_hyper8asdn867,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.0001,128
cora_run<built-in function id>_MLP-minilm_hyperejr6prwm,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.0001,256
cora_run<built-in function id>_MLP-minilm_hyperoz70999s,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.0001,512
cora_run<built-in function id>_MLP-minilm_hyperkrrkv9io,29.15,46.13,60.89,70.11,85.24,96.31,38.39,29.15,46.13,60.89,70.11,85.24,96.31,92.5,93.02,83.03,0.0001,1024
cora_run<built-in function id>_MLP-minilm_hyper46s39nem,29.52,45.39,62.36,66.05,84.87,96.31,39.91,29.52,45.39,62.36,66.05,84.87,96.31,91.91,92.33,83.03,0.01,64
cora_run<built-in function id>_MLP-minilm_hyper6fz17chp,29.52,37.64,62.36,66.05,83.76,96.31,39.91,29.52,37.64,62.36,66.05,83.76,96.31,91.81,92.33,81.73,0.01,128
cora_run<built-in function id>_MLP-minilm_hyperd4gdltam,29.52,37.64,55.72,69.0,83.76,96.31,39.91,29.52,37.64,55.72,69.0,83.76,96.31,91.99,92.46,83.39,0.01,256
cora_run<built-in function id>_MLP-minilm_hyperprf5puyo,29.52,51.29,66.05,70.85,83.39,94.83,39.91,29.52,51.29,66.05,70.85,83.39,94.83,92.14,92.8,81.73,0.01,512
