Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
arxiv_2023_run08hd0raj_SEAL,3.19,20.79,35.95,45.84,63.24,70.79,15.13,3.19,20.79,35.95,45.84,63.24,70.79,95.18,94.67,71.48,128,128,0.0001
arxiv_2023_runh6ity15e_SEAL,3.19,20.79,35.95,45.84,63.24,70.79,15.13,3.19,20.79,35.95,45.84,63.24,70.79,95.49,94.67,71.48,128,256,0.001
arxiv_2023_run3uoefcd7_SEAL,3.19,20.79,35.95,45.84,63.24,70.79,15.13,3.19,20.79,35.95,45.84,63.24,70.79,95.49,94.67,71.48,128,256,0.0001
arxiv_2023_run4f810azj_SEAL,3.19,12.17,35.95,45.84,63.24,70.79,15.13,3.19,12.17,35.95,45.84,63.24,70.79,95.49,94.67,71.48,256,32,0.001
arxiv_2023_runfqpz0oyy_SEAL,3.19,12.17,35.95,45.84,63.24,70.79,15.13,3.19,12.17,35.95,45.84,63.24,70.79,95.49,94.67,71.48,256,32,0.0001
arxiv_2023_runbw6ad0fc_SEAL,3.19,12.17,35.95,45.84,63.24,70.79,15.13,3.19,12.17,35.95,45.84,63.24,70.79,95.49,94.67,71.48,256,64,0.001
arxiv_2023_run01hux2qm_SEAL,1.72,12.17,35.95,45.84,63.24,70.79,17.55,1.72,12.17,35.95,45.84,63.24,70.79,95.49,94.67,71.17,256,64,0.0001
arxiv_2023_run2l8dk9cg_SEAL,1.72,12.17,35.95,45.84,63.24,70.79,17.55,1.72,12.17,35.95,45.84,63.24,70.79,95.49,94.67,71.17,256,128,0.001
arxiv_2023_run3zailqb6_SEAL,1.72,12.17,35.95,45.84,63.24,70.79,17.55,1.72,12.17,35.95,45.84,63.24,70.79,95.49,94.67,71.17,256,128,0.0001
arxiv_2023_runvekj6ggb_SEAL,1.72,12.17,35.95,45.84,63.24,70.79,17.55,1.72,12.17,35.95,45.84,63.24,70.79,95.49,94.67,71.17,256,256,0.001
arxiv_2023_runvv5igj5p_SEAL,1.72,12.17,35.95,45.84,63.24,70.79,17.55,1.72,12.17,35.95,45.84,63.24,70.79,95.49,94.67,71.17,256,256,0.0001
arxiv_2023_run3yfcsw03_SEAL,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,38.79,76.13,73.54,73.88,32,32,0.01
arxiv_2023_runy6svy7zr_SEAL,0.81,15.42,23.38,23.23,46.3,59.03,7.87,0.81,15.42,23.38,23.23,46.04,61.05,87.26,88.64,73.88,32,64,0.01
arxiv_2023_runr3t3jp86_SEAL,6.19,18.56,25.1,34.43,49.39,60.09,12.41,6.19,18.56,25.1,34.43,46.04,61.05,87.6,89.29,73.88,32,128,0.01
arxiv_2023_runt7baeng4_SEAL,12.42,18.56,34.58,41.33,47.52,52.69,17.74,12.42,18.56,34.58,41.33,47.52,61.05,87.6,89.29,73.88,32,256,0.01
