Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
pubmed_run<built-in function id>_MLP-e5-large_hyperjgqcg66f,16.43,29.47,37.36,57.45,74.14,83.21,24.96,16.43,29.47,37.36,57.45,74.14,83.21,96.85,96.8,90.86,0.01,64
pubmed_run<built-in function id>_MLP-e5-large_hyperj835v9mv,16.43,29.47,40.12,59.12,73.24,82.49,24.96,16.43,29.47,40.12,59.12,73.24,82.49,96.77,96.83,91.0,0.01,128
pubmed_run<built-in function id>_MLP-e5-large_hyper9dtzlluu,16.43,29.47,40.12,59.12,74.41,82.81,24.96,16.43,29.47,40.12,59.12,74.41,82.81,96.77,96.83,91.09,0.01,256
pubmed_run<built-in function id>_MLP-e5-large_hyperkq0imq1s,16.43,29.47,40.12,59.12,74.41,82.81,24.96,16.43,29.47,40.12,59.12,74.41,82.81,96.81,96.83,91.13,0.01,512
pubmed_run<built-in function id>_MLP-e5-large_hypera38vqlki,16.43,29.47,40.12,59.12,74.41,82.81,24.96,16.43,29.47,40.12,59.12,74.41,82.81,96.86,96.88,91.2,0.01,1024
pubmed_run<built-in function id>_MLP-e5-large_hyperp1w3svkr,16.43,29.47,40.12,59.12,74.41,82.81,24.96,16.43,29.47,40.12,59.12,74.41,82.81,96.86,96.89,91.2,0.001,64
pubmed_run<built-in function id>_MLP-e5-large_hyper40yjd4x7,16.43,29.47,40.12,59.12,74.41,82.81,24.96,16.43,29.47,40.12,59.12,74.41,82.81,96.86,96.89,91.2,0.001,128
pubmed_run<built-in function id>_MLP-e5-large_hypernjtf6pm8,16.43,29.47,40.12,59.12,74.41,82.81,24.96,16.43,29.47,40.12,59.12,74.41,82.81,96.86,96.89,91.2,0.001,256
Best,16.43,29.47,40.12,59.12,74.41,83.21,24.96,16.43,29.47,40.12,59.12,74.41,83.21,96.86,96.89,91.2,0.01,1024
