Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
pwc_small_run8mljdctv_ELPH_hyper21fu0tpf,25.0,65.0,95.0,95.0,100.0,100.0,43.69,25.0,65.0,95.0,95.0,100.0,100.0,84.0,81.85,82.5,128,512,0.01,1,0.5,0.5,0.7
pwc_small_run8mljdctv_ELPH_hyper3841f2wc,25.0,70.0,100.0,95.0,100.0,100.0,43.69,25.0,70.0,100.0,95.0,100.0,100.0,88.25,84.92,82.5,128,512,0.01,2,0.1,0.1,0.1
pwc_small_run8mljdctv_ELPH_hyperdik91i2q,25.0,70.0,100.0,95.0,100.0,100.0,43.69,25.0,70.0,100.0,95.0,100.0,100.0,88.25,84.92,82.5,128,512,0.01,2,0.1,0.1,0.3
pwc_small_run8mljdctv_ELPH_hyperlxhe9q4o,25.0,70.0,100.0,95.0,100.0,100.0,43.69,25.0,70.0,100.0,95.0,100.0,100.0,88.25,84.92,92.5,128,512,0.01,2,0.1,0.1,0.5
pwc_small_run8mljdctv_ELPH_hyperymojxq76,25.0,70.0,100.0,95.0,100.0,100.0,43.69,25.0,70.0,100.0,95.0,100.0,100.0,88.25,84.92,92.5,128,512,0.01,2,0.1,0.1,0.7
pwc_small_run8mljdctv_ELPH_hyperk31cvv7q,25.0,70.0,100.0,95.0,100.0,100.0,43.69,25.0,70.0,100.0,95.0,100.0,100.0,92.0,84.92,92.5,128,512,0.01,2,0.1,0.3,0.1
pwc_small_run8mljdctv_ELPH_hyper3ahp1ybg,25.0,70.0,100.0,95.0,100.0,100.0,43.69,25.0,70.0,100.0,95.0,100.0,100.0,92.0,84.92,92.5,128,512,0.01,2,0.1,0.3,0.3
pwc_small_run8mljdctv_ELPH_hyper6vnrxelx,25.0,80.0,100.0,95.0,100.0,100.0,43.69,25.0,80.0,100.0,95.0,100.0,100.0,92.0,89.25,92.5,128,512,0.01,2,0.1,0.3,0.5
pwc_small_run8mljdctv_ELPH_hypersy5m1sse,25.0,80.0,100.0,95.0,100.0,100.0,43.69,25.0,80.0,100.0,95.0,100.0,100.0,92.0,89.25,92.5,128,512,0.01,2,0.1,0.3,0.7
pwc_small_run8mljdctv_ELPH_hypergtgbkvmu,25.0,80.0,100.0,95.0,100.0,100.0,43.69,25.0,80.0,100.0,95.0,100.0,100.0,92.0,89.25,92.5,128,512,0.01,2,0.1,0.5,0.1
pwc_small_run8mljdctv_ELPH_hyperac0xc23v,25.0,80.0,100.0,95.0,100.0,100.0,43.69,25.0,80.0,100.0,95.0,100.0,100.0,92.0,89.25,92.5,128,512,0.01,2,0.1,0.5,0.3
