Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,epochs,train_time,test_time,params
cora_runrph4hs8i_GIN_Variant,52.57,57.71,70.75,80.63,90.12,93.28,58.77,52.57,57.71,70.75,80.63,90.12,93.28,94.02,93.66,83.2,1000.0,0.0897467136383056,0.0985331535339355,100161.0
cora_run8v9pwwxp_GIN_Variant,50.59,62.45,73.12,86.17,94.86,98.81,42.53,50.59,62.45,73.12,86.17,94.86,98.81,95.62,96.09,85.18,1000.0,0.0893359184265136,0.0987083911895752,100161.0
cora_runyq8fhyrq_GIN_Variant,54.55,66.01,77.08,80.63,89.72,94.86,53.68,54.55,66.01,77.08,80.63,89.72,94.86,92.12,95.04,81.42,1000.0,0.0942094326019287,0.1036195755004882,100161.0
cora_run7fkygzet_GIN_Variant,36.36,53.75,73.52,76.28,88.54,96.05,47.89,36.36,53.75,73.52,76.28,88.54,96.05,93.27,94.14,84.58,1000.0,0.0906341075897216,0.0979509353637695,100161.0
cora_run5yv8mqz0_GIN_Variant,52.17,70.36,76.68,86.17,94.47,97.23,56.64,52.17,70.36,76.68,86.17,94.47,97.23,94.96,95.06,85.57,1000.0,0.0917770862579345,0.0992176532745361,100161.0
cora_run5yv8mqz0_GIN_Variant,49.25 ± 7.34,62.06 ± 6.57,74.23 ± 2.64,81.98 ± 4.22,91.54 ± 2.91,96.05 ± 2.13,51.90 ± 6.65,49.25 ± 7.34,62.06 ± 6.57,74.23 ± 2.64,81.98 ± 4.22,91.54 ± 2.91,96.05 ± 2.13,94.00 ± 1.38,94.80 ± 0.94,83.99 ± 1.69,,,,
Best,,,,,,,,,,,,,,,,,1000.0,0.0942094326019287,0.1036195755004882,100161.0
