model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-llama,0,38.41,49.14,74.25,89.7,94.42,97.21,49.2,38.41,49.14,74.25,89.7,94.42,97.21,97.76,97.8,92.7
MLP-llama,1,41.2,50.21,79.18,88.84,94.85,98.07,51.55,41.2,50.21,79.18,88.84,94.85,98.07,97.78,97.8,92.28
MLP-llama,2,38.2,54.08,77.68,89.06,94.64,97.85,49.58,38.2,54.08,77.68,89.06,94.64,97.85,97.71,97.72,92.17
MLP-llama,3,48.07,55.36,78.54,88.41,94.42,97.85,50.15,48.07,55.36,78.54,88.41,94.42,97.85,97.7,97.76,92.38
MLP-llama,4,34.12,53.86,75.11,88.84,93.99,97.64,47.34,34.12,53.86,75.11,88.84,93.99,97.64,97.73,97.75,92.17
