Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
cora_run<built-in function id>_NCN_hyper3l7r09jf,78.6,95.94,97.05,98.71,98.89,99.45,95.21,78.6,95.94,97.05,98.71,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperjui9kkhq,78.6,95.94,97.05,98.71,98.89,99.45,95.21,78.6,95.94,97.05,98.71,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,512
cora_run<built-in function id>_NCN_hyperzeaa5xni,78.6,95.94,97.05,98.15,98.89,99.45,95.21,78.6,95.94,97.05,98.15,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,512
cora_run<built-in function id>_NCN_hyperp6xjdgh8,78.6,95.94,97.05,98.15,98.89,99.45,95.21,78.6,95.94,97.05,98.15,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,512
cora_run<built-in function id>_NCN_hyper2vkhdw70,78.6,95.94,97.05,98.15,98.89,99.45,95.21,78.6,95.94,97.05,98.15,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,512
cora_run<built-in function id>_NCN_hyperyhmhy1ae,78.6,95.94,97.05,98.15,98.89,99.45,95.21,78.6,95.94,97.05,98.15,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,1024
cora_run<built-in function id>_NCN_hypertf8ecyf7,44.46,95.94,97.05,98.15,98.89,98.89,95.21,44.46,95.94,97.05,98.15,98.89,98.89,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyperha9xkkj6,44.46,95.94,97.05,98.15,98.89,98.89,95.21,44.46,95.94,97.05,98.15,98.89,98.89,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,1024
cora_run<built-in function id>_NCN_hyperywfi6tzx,44.46,95.94,97.05,98.15,98.89,98.89,95.21,44.46,95.94,97.05,98.15,98.89,98.89,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyper9fv72but,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,2048
cora_run<built-in function id>_NCN_hyperuark09lm,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyperl6e68fr8,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,2048
cora_run<built-in function id>_NCN_hyperuu6tnqod,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,2048
cora_run<built-in function id>_NCN_hypergbggjce5,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,256
cora_run<built-in function id>_NCN_hyperc653jgh4,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperctza4ak9,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,256
cora_run<built-in function id>_NCN_hyperxqgud0eg,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperwegyqtb6,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,512
cora_run<built-in function id>_NCN_hypertbq2021r,44.46,95.94,97.05,98.15,98.89,99.45,95.21,44.46,95.94,97.05,98.15,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,512
cora_run<built-in function id>_NCN_hyperewppxas8,44.46,95.94,98.71,99.63,98.89,99.45,95.21,44.46,95.94,98.71,99.63,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,512
cora_run<built-in function id>_NCN_hyperj2bg362u,44.46,95.94,98.71,99.63,98.89,99.45,95.21,44.46,95.94,98.71,99.63,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,512
cora_run<built-in function id>_NCN_hyperzw5bemzb,44.46,95.94,98.71,99.63,98.89,99.45,95.21,44.46,95.94,98.71,99.63,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,1024
cora_run<built-in function id>_NCN_hyper68tnqjrd,44.46,61.44,98.71,99.63,98.89,99.45,95.21,44.46,61.44,98.71,99.63,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyperh09ilgbb,44.46,61.44,98.71,99.63,98.89,99.45,95.21,44.46,61.44,98.71,99.63,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,1024
cora_run<built-in function id>_NCN_hyper3tydt384,44.46,61.44,98.71,99.63,98.89,99.45,95.21,44.46,61.44,98.71,99.63,98.89,99.45,99.69,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.0001,64,1024
