Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-bert_hyperxa2gxpjo,0.0,0.74,1.11,5.17,15.13,33.95,2.01,0.0,0.74,1.11,5.17,15.13,33.95,50.53,50.6,50.0,0.01,64
cora_run<built-in function id>_MLP-bert_hyperm7e18x2y,0.0,0.74,1.11,5.54,21.03,42.07,2.91,0.0,0.74,1.11,5.54,21.03,46.13,54.04,52.78,50.19,0.01,128
cora_run<built-in function id>_MLP-bert_hypery06i1hgq,1.48,1.48,4.43,12.92,32.84,52.4,3.3,1.48,1.48,4.43,14.39,32.84,52.4,61.84,59.98,56.64,0.01,256
cora_run<built-in function id>_MLP-bert_hyperqbdubyea,0.0,2.58,4.43,12.92,32.84,52.4,3.3,0.0,2.58,4.43,14.39,32.84,52.4,61.84,59.98,56.64,0.01,512
cora_run<built-in function id>_MLP-bert_hypervomlrabu,0.0,1.48,7.75,12.18,32.84,52.4,3.55,0.0,1.48,7.75,14.39,32.84,52.4,61.84,59.98,56.64,0.01,1024
cora_run<built-in function id>_MLP-bert_hyperrtrr01un,0.0,2.58,7.38,18.45,41.33,63.47,3.97,0.0,2.58,7.38,18.45,41.33,63.47,64.86,63.7,60.15,0.001,64
cora_run<built-in function id>_MLP-bert_hyperzct5ipbz,0.0,2.58,7.38,18.45,42.8,59.04,3.91,0.0,2.58,7.38,18.45,42.8,59.04,65.36,64.5,60.52,0.001,128
cora_run<built-in function id>_MLP-bert_hyperxyd4ipow,0.0,2.58,7.01,16.97,42.07,59.41,3.91,0.0,2.58,7.01,16.97,42.07,59.41,65.29,63.68,60.52,0.001,256
cora_run<built-in function id>_MLP-bert_hyperehgkwwp2,0.0,2.58,7.01,16.97,40.22,59.41,3.91,0.0,2.58,7.01,16.97,40.22,59.41,67.22,64.36,62.18,0.001,512
cora_run<built-in function id>_MLP-bert_hypergb0wp0or,0.0,2.58,7.01,16.97,40.22,59.41,3.91,0.0,2.58,7.01,16.97,40.22,59.41,67.22,64.36,62.18,0.001,1024
cora_run<built-in function id>_MLP-bert_hyperqiswmcoi,0.0,2.58,7.01,16.97,40.22,59.41,3.91,0.0,2.58,7.01,16.97,40.22,59.41,67.22,64.36,62.18,0.0001,64
cora_run<built-in function id>_MLP-bert_hyperws7hwoed,0.0,2.58,7.01,16.97,40.22,59.41,3.91,0.0,2.58,7.01,16.97,40.22,59.41,67.22,64.36,62.18,0.0001,128
cora_run<built-in function id>_MLP-bert_hyper769zxhav,0.0,2.58,7.01,16.97,40.22,59.41,3.91,0.0,2.58,7.01,16.97,40.22,59.41,67.22,64.36,62.18,0.0001,256
cora_run<built-in function id>_MLP-bert_hyperhnr8jfam,0.0,1.11,7.01,16.97,40.22,59.41,3.91,0.0,1.11,7.01,16.97,40.22,59.41,67.22,64.36,62.18,0.0001,512
cora_run<built-in function id>_MLP-bert_hyperhomn6p1i,0.0,1.11,7.01,16.97,40.22,59.41,3.91,0.0,1.11,7.01,16.97,40.22,59.41,67.22,64.36,62.18,0.0001,1024
cora_run<built-in function id>_MLP-bert_hyperpik2pag4,0.37,1.11,0.74,6.64,17.71,42.07,2.66,0.37,1.11,0.74,6.64,17.71,42.07,51.21,50.5,50.0,0.01,64
cora_run<built-in function id>_MLP-bert_hypert9dzfn8e,0.37,1.11,2.21,4.8,19.56,45.02,1.37,0.37,1.11,2.21,4.8,19.56,45.02,53.46,53.61,50.37,0.01,128
cora_run<built-in function id>_MLP-bert_hypervqyhromm,0.74,1.48,5.9,14.39,28.78,50.18,3.82,0.74,1.48,5.9,14.39,32.84,52.03,59.93,60.26,55.35,0.01,256
cora_run<built-in function id>_MLP-bert_hyper16obympw,0.0,1.48,2.95,9.23,28.04,50.18,2.9,0.0,1.48,2.95,9.23,32.84,52.03,59.93,60.26,55.35,0.01,512
cora_run<built-in function id>_MLP-bert_hypern98wlhl0,0.0,2.21,2.95,12.18,29.15,50.18,2.46,0.0,2.21,2.95,12.18,32.84,52.03,59.33,60.26,58.3,0.01,1024
cora_run<built-in function id>_MLP-bert_hyperjuics76m,0.0,0.74,7.75,22.14,39.85,50.92,2.46,0.0,0.74,7.75,22.14,32.84,52.03,63.81,62.91,60.15,0.001,64
cora_run<built-in function id>_MLP-bert_hypervwkdz2xg,0.0,2.21,7.01,19.93,40.59,57.2,3.91,0.0,2.21,7.01,19.93,32.84,57.2,66.95,65.87,60.89,0.001,128
cora_run<built-in function id>_MLP-bert_hyper0yuhnteg,0.0,2.21,8.12,19.93,39.85,62.73,3.91,0.0,2.21,8.12,19.93,32.84,62.73,68.17,65.64,62.73,0.001,256
cora_run<built-in function id>_MLP-bert_hyperioumtlva,0.0,2.21,8.12,19.93,35.79,62.73,3.91,0.0,2.21,8.12,19.93,32.84,62.73,68.17,65.64,61.07,0.001,512
cora_run<built-in function id>_MLP-bert_hypermc47y6fy,0.0,2.21,8.12,19.93,35.79,62.73,2.95,0.0,2.21,8.12,19.93,32.84,62.73,68.17,65.64,61.07,0.001,1024
cora_run<built-in function id>_MLP-bert_hyper63kgp05l,0.0,2.21,6.64,19.93,35.79,62.73,2.95,0.0,2.21,6.64,19.93,32.84,62.73,68.17,65.64,61.07,0.0001,64
cora_run<built-in function id>_MLP-bert_hyper9lt935wx,0.0,2.58,6.64,19.93,35.79,62.73,2.95,0.0,2.58,6.64,19.93,32.84,62.73,68.17,65.64,61.07,0.0001,128
cora_run<built-in function id>_MLP-bert_hyperd91afmw4,0.0,2.58,6.64,19.93,35.79,62.73,2.95,0.0,2.58,6.64,19.93,32.84,62.73,68.17,65.64,61.07,0.0001,256
cora_run<built-in function id>_MLP-bert_hyperw9khtil1,0.0,2.58,6.64,19.93,35.79,62.73,2.95,0.0,2.58,6.64,19.93,32.84,62.73,68.17,65.64,61.07,0.0001,512
cora_run<built-in function id>_MLP-bert_hyper9svvg30m,0.0,2.58,6.64,19.93,35.79,62.73,2.95,0.0,2.58,6.64,19.93,32.84,62.73,68.17,65.64,61.07,0.0001,1024
cora_run<built-in function id>_MLP-bert_hypervnr4b44s,0.0,1.48,0.74,4.8,16.61,40.22,2.72,0.0,1.48,0.74,4.8,16.61,40.22,49.84,49.79,51.66,0.01,64
cora_run<built-in function id>_MLP-bert_hyper9nxh6tzz,0.0,1.48,0.74,9.23,23.25,46.49,2.51,0.0,1.48,0.74,9.23,23.25,46.49,55.31,53.77,50.0,0.01,128
cora_run<built-in function id>_MLP-bert_hypernxpg0uba,0.37,0.74,4.06,12.18,31.73,48.71,2.94,0.37,0.74,4.06,14.39,31.37,54.98,63.45,60.98,54.61,0.01,256
cora_run<built-in function id>_MLP-bert_hyperbvk4gbsq,0.37,0.74,5.9,12.18,31.73,48.71,2.92,0.37,0.74,5.9,14.39,31.37,54.98,63.45,60.98,54.61,0.01,512
cora_run<built-in function id>_MLP-bert_hyper4boz8h5a,0.0,1.11,4.8,12.18,31.73,48.71,2.59,0.0,1.11,4.8,14.39,31.37,54.98,63.45,60.98,54.61,0.01,1024
cora_run<built-in function id>_MLP-bert_hyper33yflwv7,0.0,1.85,5.9,17.34,40.22,56.09,4.69,0.0,1.85,5.9,14.39,31.37,54.98,66.08,64.69,61.26,0.001,64
cora_run<built-in function id>_MLP-bert_hyperziobwc3i,0.0,1.85,5.9,17.34,40.22,56.09,4.69,0.0,1.85,5.9,14.39,31.37,54.98,65.22,64.69,61.26,0.001,128
cora_run<built-in function id>_MLP-bert_hyperzgvitqhu,0.0,3.32,5.9,14.02,38.38,62.36,3.56,0.0,3.32,5.9,14.39,31.37,62.36,64.3,61.91,62.18,0.001,256
cora_run<built-in function id>_MLP-bert_hyperwbu65bzp,0.0,3.32,5.9,14.02,38.38,62.36,3.56,0.0,3.32,5.9,14.39,31.37,62.36,67.03,61.91,62.18,0.001,512
cora_run<built-in function id>_MLP-bert_hyperx0fobcav,0.0,3.32,5.9,14.02,38.38,62.36,3.89,0.0,3.32,5.9,14.39,31.37,62.36,67.03,61.91,62.18,0.001,1024
cora_run<built-in function id>_MLP-bert_hyper2553wss6,0.0,0.74,5.9,14.02,38.38,62.36,3.89,0.0,0.74,5.9,14.39,31.37,62.36,67.54,61.91,62.18,0.0001,64
cora_run<built-in function id>_MLP-bert_hypero77wm2xy,0.0,0.74,5.9,14.02,38.38,62.36,3.89,0.0,0.74,5.9,14.39,31.37,62.36,67.54,63.22,62.18,0.0001,128
cora_run<built-in function id>_MLP-bert_hypercpgpmzkf,0.0,0.74,5.9,14.02,38.38,62.36,3.89,0.0,0.74,5.9,14.39,31.37,62.36,67.54,63.22,62.18,0.0001,256
cora_run<built-in function id>_MLP-bert_hyperul3b63f9,0.0,0.74,5.9,14.02,38.38,62.36,3.89,0.0,0.74,5.9,14.39,31.37,62.36,67.54,63.22,62.18,0.0001,512
cora_run<built-in function id>_MLP-bert_hyperihv3gi6f,0.0,0.74,5.9,14.02,38.38,62.36,3.89,0.0,0.74,5.9,14.39,31.37,62.36,67.54,63.22,62.18,0.0001,1024
cora_run<built-in function id>_MLP-bert_hyperrrmj2ugp,2.21,7.75,9.23,14.39,26.94,43.54,5.56,2.21,7.75,9.23,14.39,26.94,43.54,56.42,58.65,50.74,0.01,1024
cora_run<built-in function id>_MLP-bert_hyperz7nrbsa4,2.21,7.75,11.44,14.39,26.94,43.54,5.56,2.21,7.75,11.44,14.39,26.94,43.54,56.46,58.6,54.98,0.01,2048
cora_run<built-in function id>_MLP-bert_hyperbcluuakd,1.11,7.75,11.81,21.4,35.06,54.24,5.58,1.11,7.75,11.81,21.4,35.06,54.24,63.22,64.27,60.89,0.001,1024
cora_run<built-in function id>_MLP-bert_hypervhc6tluu,1.11,7.75,11.81,21.4,35.06,54.24,5.58,1.11,7.75,11.81,21.4,35.06,54.24,63.22,64.27,60.89,0.001,2048
cora_run<built-in function id>_MLP-bert_hyper66eec209,1.11,7.75,11.81,21.4,35.06,54.24,5.58,1.11,7.75,11.81,21.4,35.06,54.24,63.22,64.27,60.89,0.0001,1024
cora_run<built-in function id>_MLP-bert_hypervkxhassz,1.11,7.75,11.81,21.4,35.06,54.24,5.58,1.11,7.75,11.81,21.4,35.06,54.24,63.22,64.27,60.89,0.0001,2048
cora_run<built-in function id>_MLP-bert_hyperxfuaaxa8,2.95,6.27,11.07,17.34,25.83,50.55,5.79,2.95,6.27,11.07,17.34,25.83,50.55,57.11,59.55,55.17,0.01,1024
cora_run<built-in function id>_MLP-bert_hyperq4kc8ml6,2.95,6.27,11.07,15.87,30.26,50.55,5.79,2.95,6.27,11.07,15.87,30.26,50.55,57.11,59.55,56.09,0.01,2048
cora_run<built-in function id>_MLP-bert_hyper9coyu6mz,0.74,5.9,12.18,18.45,34.69,51.66,5.82,0.74,5.9,12.18,18.45,34.69,51.66,62.3,64.36,59.22,0.001,1024
cora_run<built-in function id>_MLP-bert_hyper8qyl5kf6,0.74,5.9,12.18,18.45,34.69,51.66,5.82,0.74,5.9,12.18,18.45,34.69,51.66,62.3,64.36,59.22,0.001,2048
cora_run<built-in function id>_MLP-bert_hyper5bh649ux,0.74,5.9,12.18,18.45,34.69,51.66,5.82,0.74,5.9,12.18,18.45,34.69,51.66,62.3,64.36,59.22,0.0001,1024
cora_run<built-in function id>_MLP-bert_hypert4cl5vwc,0.74,5.9,12.18,18.45,34.69,51.66,5.82,0.74,5.9,12.18,18.45,34.69,51.66,62.3,64.36,59.22,0.0001,2048
cora_run<built-in function id>_MLP-bert_hyper5uqw1kie,2.58,3.69,12.92,17.71,29.52,44.28,5.68,2.58,3.69,12.92,17.71,29.52,44.28,58.45,60.64,54.98,0.01,1024
cora_run<built-in function id>_MLP-bert_hypernn8timrr,2.58,3.69,9.23,15.13,29.52,44.28,5.68,2.58,3.69,9.23,15.13,29.52,44.28,58.08,60.64,54.24,0.01,2048
cora_run<built-in function id>_MLP-bert_hypersb6e5mnz,0.74,6.64,12.92,20.3,32.47,54.61,5.64,0.74,6.64,12.92,20.3,32.47,54.61,62.36,64.72,59.59,0.001,1024
cora_run<built-in function id>_MLP-bert_hyperbqnil8o4,0.74,6.64,12.92,19.93,32.47,54.61,5.64,0.74,6.64,12.92,19.93,32.47,54.61,62.36,64.72,59.59,0.001,2048
