Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,epochs,train_time,test_time,params
cora_run1gomk2oj_GAT_Variant,44.66,50.2,66.01,75.89,87.75,94.86,50.33,44.66,50.2,66.01,75.89,87.75,94.86,92.55,94.23,83.6,1000.0,0.0656454563140869,0.0712573528289794,52289.0
cora_runu9w8mt7w_GAT_Variant,26.48,61.26,76.68,83.0,91.3,97.23,41.04,26.48,61.26,76.68,83.0,91.3,97.23,94.59,95.13,83.6,1000.0,0.0654699802398681,0.071129560470581,52289.0
cora_run2561jvn0_GAT_Variant,62.06,63.64,73.12,80.63,88.93,94.07,66.36,62.06,63.64,73.12,80.63,88.93,94.07,93.55,95.23,80.24,1000.0,0.0671546459197998,0.072972297668457,52289.0
cora_run0iadi8va_GAT_Variant,36.76,53.75,71.54,79.05,88.54,93.68,48.66,36.76,53.75,71.54,79.05,88.54,93.68,93.26,93.93,83.99,1000.0,0.0663442611694336,0.0720353126525878,52289.0
cora_run95j1my11_GAT_Variant,14.62,68.77,75.1,81.42,92.49,96.84,42.71,14.62,68.77,75.1,81.42,92.49,96.84,94.9,94.76,85.57,1000.0,0.0659911632537841,0.0717434883117675,52289.0
cora_run95j1my11_GAT_Variant,36.92 ± 18.02,59.52 ± 7.51,72.49 ± 4.11,80.00 ± 2.70,89.80 ± 2.00,95.34 ± 1.61,49.82 ± 10.04,36.92 ± 18.02,59.52 ± 7.51,72.49 ± 4.11,80.00 ± 2.70,89.80 ± 2.00,95.34 ± 1.61,93.77 ± 0.97,94.66 ± 0.56,83.40 ± 1.94,,,,
Best,,,,,,,,,,,,,,,,,1000.0,0.0671546459197998,0.072972297668457,52289.0
