Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
arxiv_2023_runkc3jiuz3_ELPH_hyperegrjnore,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,52.65,128,512,0.01,2,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypersfimvr61,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,52.65,128,512,0.01,2,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperchnk3exu,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper5fzpaagv,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypern8bo2vtn,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperevg2u8bc,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper7yvradlm,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hypercm3ecou3,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyper5tqa79lv,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.5,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyper9xvpzjjo,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.5,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperxk45jvv2,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.01,3,0.5,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hypermexgzzvp,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperkspr3og8,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperbjmo96f4,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hypere0kjlvk0,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperd3dgyltv,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,57.28,128,512,0.001,2,0.3,0.3,
