Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
cora_runrdpq098m_BUDDY_hyper1c1e8kwi,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.3,0.5
cora_runrdpq098m_BUDDY_hyperztldl604,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.5,0.1
cora_runrdpq098m_BUDDY_hyperd0rtm8m9,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.5,0.3
cora_runrdpq098m_BUDDY_hyperyhx3z4ms,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.5,0.5
cora_runrdpq098m_BUDDY_hyperg6lyfh0v,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.1,0.1
cora_runrdpq098m_BUDDY_hyperxtugveqf,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.1,0.3
cora_runrdpq098m_BUDDY_hyperxxi1pf17,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.1,0.5
cora_runrdpq098m_BUDDY_hyper3bx476a3,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.3,0.1
cora_runrdpq098m_BUDDY_hyper4opofsmo,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.3,0.3
cora_runrdpq098m_BUDDY_hyperh7tdj8qz,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.3,0.5
cora_runrdpq098m_BUDDY_hypervlstkibl,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.5,0.1
cora_runrdpq098m_BUDDY_hyperzlwd5g85,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.5,0.3
cora_runrdpq098m_BUDDY_hyper268en0rv,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.5,0.5
cora_runrdpq098m_BUDDY_hyperlipt90z4,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.1,0.1
cora_runrdpq098m_BUDDY_hyperfbscyk0u,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.1,0.3
cora_runrdpq098m_BUDDY_hypercbe7z1mw,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.1,0.5
cora_runrdpq098m_BUDDY_hyper3kafl0nm,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.3,0.1
cora_runrdpq098m_BUDDY_hypern38ilz2w,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.3,0.3
cora_runrdpq098m_BUDDY_hyperv3tqoj17,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.3,0.5
cora_runrdpq098m_BUDDY_hyperdszcgfa4,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.5,0.1
cora_runrdpq098m_BUDDY_hyperj97y3fo6,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.5,0.3
cora_runrdpq098m_BUDDY_hyperod6c3rz8,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.3,0.5,0.5
cora_runrdpq098m_BUDDY_hyper0tih3y0e,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.1,0.1
cora_runrdpq098m_BUDDY_hyper89bcr66b,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.1,0.3
cora_runrdpq098m_BUDDY_hyper98z41ose,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.5,0.1,0.5
