Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
llama-ncn-arxiv_2023,20.55 ± 21.50,40.87 ± 12.10,60.39 ± 4.80,72.50 ± 3.30,86.43 ± 0.24,92.64 ± 0.52,32.48 ± 12.29,20.55 ± 21.50,40.87 ± 12.10,60.39 ± 4.80,72.50 ± 3.30,86.43 ± 0.24,92.64 ± 0.52,98.24 ± 0.17,98.22 ± 0.22,93.54 ± 0.43
minilm-ncnc-arxiv_2023,17.50 ± 8.01,37.80 ± 4.63,49.40 ± 4.05,55.08 ± 4.75,65.65 ± 1.80,70.61 ± 2.24,29.10 ± 3.83,17.50 ± 8.01,37.80 ± 4.63,49.40 ± 4.05,55.08 ± 4.75,65.65 ± 1.80,70.61 ± 2.24,88.42 ± 0.72,91.03 ± 0.63,81.64 ± 0.80
minilm-ncn-arxiv_2023,19.78 ± 18.05,39.60 ± 9.25,53.20 ± 0.98,56.90 ± 0.86,61.95 ± 0.54,66.47 ± 0.84,31.86 ± 13.16,19.78 ± 18.05,39.60 ± 9.25,53.20 ± 0.98,56.90 ± 0.86,61.95 ± 0.54,66.47 ± 0.84,86.69 ± 0.28,89.93 ± 0.24,78.83 ± 0.54
bert-ncnc-arxiv_2023,15.18 ± 3.87,24.66 ± 5.37,38.67 ± 2.92,46.95 ± 4.30,58.83 ± 3.91,68.50 ± 3.49,22.80 ± 2.55,15.18 ± 3.87,24.66 ± 5.37,38.67 ± 2.92,46.95 ± 4.30,58.83 ± 3.91,68.50 ± 3.49,89.20 ± 0.30,90.95 ± 0.40,81.31 ± 2.57
bert-ncn-arxiv_2023,22.47 ± 19.32,40.58 ± 9.07,53.80 ± 1.36,57.00 ± 1.01,61.93 ± 0.78,66.20 ± 0.62,37.05 ± 8.86,22.47 ± 19.32,40.58 ± 9.07,53.80 ± 1.36,57.00 ± 1.01,61.93 ± 0.78,66.20 ± 0.62,86.94 ± 0.27,90.08 ± 0.14,78.42 ± 0.95
e5-large-ncn-arxiv_2023,12.63 ± 17.91,39.95 ± 8.97,64.88 ± 3.87,74.07 ± 1.59,84.36 ± 0.56,90.79 ± 1.38,32.23 ± 14.04,12.63 ± 17.91,39.95 ± 8.97,64.88 ± 3.87,74.07 ± 1.59,84.36 ± 0.56,90.79 ± 1.38,97.82 ± 0.22,97.85 ± 0.24,92.42 ± 0.51
e5-large-ncnc-arxiv_2023,8.67 ± 6.89,34.71 ± 13.55,56.48 ± 5.43,70.76 ± 3.31,83.24 ± 1.20,90.46 ± 1.14,25.14 ± 9.39,8.67 ± 6.89,34.71 ± 13.55,56.48 ± 5.43,70.76 ± 3.31,83.24 ± 1.20,90.46 ± 1.14,97.72 ± 0.16,97.74 ± 0.23,92.53 ± 0.49
llama-ncnc-arxiv_2023,11.77 ± 13.64,27.98 ± 8.71,58.62 ± 11.59,70.85 ± 6.33,84.68 ± 1.72,91.90 ± 1.33,27.16 ± 11.48,11.77 ± 13.64,27.98 ± 8.71,58.62 ± 11.59,70.85 ± 6.33,84.68 ± 1.72,91.90 ± 1.33,97.97 ± 0.36,97.83 ± 0.38,93.26 ± 0.35
llamaneognn-arxiv_2023,15.79 ± 7.70,26.04 ± 6.44,40.74 ± 9.72,47.67 ± 10.12,60.50 ± 9.74,71.21 ± 12.03,24.25 ± 5.71,15.79 ± 7.70,26.04 ± 6.44,40.74 ± 9.72,47.67 ± 10.12,60.50 ± 9.74,71.21 ± 12.03,90.63 ± 4.57,91.90 ± 3.74,83.31 ± 6.01
ft-MLP-minilm-arxiv_2023,18.65 ± 8.37,36.03 ± 3.56,54.61 ± 6.63,65.91 ± 5.05,80.20 ± 2.62,88.38 ± 1.06,29.86 ± 5.82,18.65 ± 8.37,36.03 ± 3.56,54.61 ± 6.63,65.91 ± 5.05,80.20 ± 2.62,88.38 ± 1.06,97.25 ± 0.36,97.29 ± 0.36,0.00 ± 0.00
ft-MLP-bert-arxiv_2023,20.31 ± 5.45,30.28 ± 7.59,49.27 ± 4.43,63.21 ± 4.12,77.75 ± 3.46,87.56 ± 2.05,29.54 ± 3.98,20.31 ± 5.45,30.28 ± 7.59,49.27 ± 4.43,63.21 ± 4.12,77.75 ± 3.46,87.56 ± 2.05,96.98 ± 0.31,97.00 ± 0.32,0.00 ± 0.00
ft-MLP-e5-large-marxiv_2023,21.25 ± 7.41,33.52 ± 8.53,54.55 ± 6.20,66.67 ± 3.51,80.48 ± 2.52,89.35 ± 1.33,31.73 ± 6.62,21.25 ± 7.41,33.52 ± 8.53,54.55 ± 6.20,66.67 ± 3.51,80.48 ± 2.52,89.35 ± 1.33,97.39 ± 0.33,97.42 ± 0.33,0.00 ± 0.00
Best,41.09,52.93,65.3,76.14,86.43,92.64,48.48,41.09,52.93,65.3,76.14,86.43,92.64,98.24,98.22,93.54
