Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-e5-large_hyper8503mi44,4.8,8.12,17.71,31.0,42.07,75.65,9.36,4.8,8.12,17.71,31.0,42.44,75.65,77.39,74.46,66.24,0.01,64
cora_run<built-in function id>_MLP-e5-large_hyper2vzuhe41,4.8,8.86,21.77,44.65,41.33,74.17,9.36,4.8,8.86,21.77,44.65,63.1,74.17,79.95,76.71,73.8,0.01,128
cora_run<built-in function id>_MLP-e5-large_hyperkc08u1sv,4.8,2.95,21.77,44.65,57.93,74.17,11.04,4.8,14.39,21.77,38.75,63.1,74.17,79.95,78.41,73.8,0.01,256
cora_run<built-in function id>_MLP-e5-large_hyperq0rtxe5h,4.8,2.95,9.96,44.65,39.48,74.17,8.15,4.8,14.39,24.35,38.75,63.1,74.17,79.95,78.41,73.8,0.01,512
cora_run<built-in function id>_MLP-e5-large_hypermisbg49r,4.8,2.95,9.96,37.27,58.67,74.17,8.15,4.8,14.39,24.35,28.78,63.1,74.17,78.09,76.94,73.8,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hyperb8wfy247,4.8,4.43,9.96,37.27,60.15,74.17,8.15,4.8,4.43,24.35,28.78,63.1,74.17,78.09,76.94,73.8,0.001,64
cora_run<built-in function id>_MLP-e5-large_hyperk9p6awv7,4.8,4.43,9.96,37.27,60.15,74.17,8.15,4.8,4.43,24.35,28.78,63.1,73.06,78.09,76.94,73.8,0.001,128
cora_run<built-in function id>_MLP-e5-large_hyperxls5fgjq,4.8,4.43,9.96,32.84,60.15,74.17,8.15,4.8,4.43,24.35,33.95,63.1,73.06,78.09,75.87,73.8,0.001,256
cora_run<built-in function id>_MLP-e5-large_hypero9tgmg0x,4.8,4.43,9.96,32.84,60.15,74.17,8.15,4.8,4.43,24.35,33.95,63.1,60.15,79.19,77.4,73.8,0.001,512
cora_run<built-in function id>_MLP-e5-large_hyperas02qcnm,4.8,4.43,9.96,32.84,60.15,74.17,8.15,4.8,4.43,24.35,33.95,63.1,63.84,79.19,77.4,73.8,0.001,1024
cora_run<built-in function id>_MLP-e5-large_hyperihem2gam,4.8,4.43,9.96,32.84,60.15,74.17,8.15,4.8,4.43,24.35,33.95,63.1,63.84,78.26,77.4,73.8,0.0001,64
cora_run<built-in function id>_MLP-e5-large_hyperktu524sf,4.8,4.43,9.96,32.84,60.15,74.17,8.15,4.8,4.43,24.35,33.95,63.1,63.84,78.26,77.4,50.0,0.0001,128
cora_run<built-in function id>_MLP-e5-large_hyperpdml6y41,4.8,4.43,9.96,32.84,60.15,74.17,8.15,4.8,4.43,24.35,33.95,63.1,66.79,78.26,77.4,50.0,0.0001,256
cora_run<built-in function id>_MLP-e5-large_hyper7rac7c1x,4.8,4.43,9.96,32.84,60.15,74.17,8.15,4.8,4.43,24.35,33.95,63.1,66.79,78.26,77.4,50.0,0.0001,512
cora_run<built-in function id>_MLP-e5-large_hyperzklmf4jj,4.8,9.96,9.96,32.84,60.15,74.17,8.15,4.8,9.96,24.35,33.95,63.1,66.79,78.26,77.43,50.0,0.0001,1024
cora_run<built-in function id>_MLP-e5-large_hyper0upbh06q,5.54,12.18,29.89,36.9,49.45,69.0,10.97,5.54,12.18,29.89,36.9,49.45,58.67,77.5,77.21,69.56,0.01,64
cora_run<built-in function id>_MLP-e5-large_hypermp4a9330,5.54,12.18,15.5,33.58,58.67,76.75,10.97,5.54,12.18,15.5,33.58,58.67,58.67,75.43,77.87,69.56,0.01,128
cora_run<built-in function id>_MLP-e5-large_hyperlehhrs7f,1.85,12.18,24.35,42.07,64.94,81.18,12.78,1.85,12.18,21.03,29.89,65.31,81.92,80.51,80.55,68.45,0.01,256
cora_run<built-in function id>_MLP-e5-large_hyperjllnupj8,1.48,7.75,20.66,29.52,64.94,81.18,9.37,1.48,7.75,20.66,29.89,44.65,81.92,75.98,80.55,68.45,0.01,512
cora_run<built-in function id>_MLP-e5-large_hyperl62g0ujf,1.48,7.75,20.66,29.52,64.94,81.18,9.37,1.48,7.75,20.66,29.89,44.65,78.6,75.98,80.55,69.74,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hypero9mmg024,1.48,7.75,20.66,29.52,64.94,81.18,9.37,1.48,7.75,20.66,29.89,44.65,78.6,75.98,80.55,69.74,0.001,64
cora_run<built-in function id>_MLP-e5-large_hyperc40irjrj,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,29.89,48.34,78.6,79.44,78.58,69.74,0.001,128
cora_run<built-in function id>_MLP-e5-large_hyper7hujneox,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,29.89,45.39,58.67,79.44,78.58,69.74,0.001,256
cora_run<built-in function id>_MLP-e5-large_hyperry07w85o,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,29.89,45.39,61.99,79.44,78.58,71.59,0.001,512
cora_run<built-in function id>_MLP-e5-large_hyperzf751an0,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,29.89,45.39,64.21,79.44,78.58,71.59,0.001,1024
cora_run<built-in function id>_MLP-e5-large_hyperk0cdw4vs,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,29.89,56.46,64.21,79.44,78.58,71.59,0.0001,64
cora_run<built-in function id>_MLP-e5-large_hypereg0s0hr9,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,34.32,56.46,63.84,79.44,78.58,71.59,0.0001,128
cora_run<built-in function id>_MLP-e5-large_hyperq2m9gvzb,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,34.32,56.46,66.05,79.44,78.58,71.59,0.0001,256
cora_run<built-in function id>_MLP-e5-large_hyper8pywvqco,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,34.32,56.46,66.05,79.44,78.58,71.59,0.0001,512
cora_run<built-in function id>_MLP-e5-large_hyper04uiw1q8,1.48,7.75,20.66,29.52,60.89,81.18,9.37,1.48,7.75,20.66,34.32,56.46,66.05,79.44,78.58,71.59,0.0001,1024
cora_run<built-in function id>_MLP-e5-large_hyperoneq5bfq,2.21,7.01,18.45,35.79,54.61,71.96,7.02,2.21,7.01,18.45,35.79,54.61,45.76,75.79,77.38,61.44,0.01,64
cora_run<built-in function id>_MLP-e5-large_hyperyiry3qqp,7.01,8.49,24.35,36.16,49.82,77.49,12.83,7.01,8.49,24.35,36.16,49.82,77.49,76.97,76.07,67.71,0.01,128
cora_run<built-in function id>_MLP-e5-large_hyperm5vykk9h,7.75,8.49,24.35,36.16,48.71,77.49,12.83,7.75,8.49,24.35,20.66,48.71,66.42,75.02,74.14,67.71,0.01,256
cora_run<built-in function id>_MLP-e5-large_hyperf5gu7unw,8.12,5.9,24.35,32.47,48.71,77.49,13.23,8.12,5.9,24.35,32.47,48.71,66.42,75.57,75.58,67.71,0.01,512
cora_run<built-in function id>_MLP-e5-large_hyperx3t2hktg,8.12,5.9,22.14,32.47,48.71,81.18,13.23,8.12,5.9,26.94,31.0,57.56,78.6,78.75,76.63,67.71,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hyperteb79abq,8.12,5.9,22.88,33.58,59.41,78.6,13.23,8.12,5.9,18.82,26.94,57.56,78.6,78.75,77.57,67.71,0.001,64
cora_run<built-in function id>_MLP-e5-large_hyperelvopefs,8.12,5.9,24.72,36.16,60.89,78.6,13.23,8.12,5.9,18.82,26.94,57.56,85.61,78.67,78.47,67.71,0.001,128
cora_run<built-in function id>_MLP-e5-large_hyperhvxm88qj,8.12,5.9,24.72,35.79,60.89,78.6,13.23,8.12,5.9,24.35,30.26,57.56,60.15,78.67,78.47,67.71,0.001,256
cora_run<built-in function id>_MLP-e5-large_hyperk3uwglx9,8.12,5.9,24.72,35.79,60.89,78.6,13.23,8.12,5.9,21.4,30.26,47.6,63.84,78.67,78.47,70.66,0.001,512
cora_run<built-in function id>_MLP-e5-large_hyperpzm3dy8v,8.12,5.9,24.72,35.79,60.89,78.6,13.23,8.12,5.9,21.4,30.26,49.45,63.84,78.67,78.47,69.93,0.001,1024
cora_run<built-in function id>_MLP-e5-large_hyperyy45hgqb,8.12,5.9,24.72,35.79,60.89,69.37,13.23,8.12,4.06,21.4,29.89,52.03,63.84,78.67,78.47,69.93,0.0001,64
cora_run<built-in function id>_MLP-e5-large_hyperkly1zcfg,8.12,5.9,24.72,35.79,60.89,55.35,13.23,8.12,4.06,21.4,29.89,55.35,67.16,78.67,78.47,71.03,0.0001,128
cora_run<built-in function id>_MLP-e5-large_hyper4l0z54mf,8.12,5.17,24.72,35.79,60.89,55.35,13.23,8.12,5.17,21.4,29.89,55.35,67.16,78.67,78.47,71.03,0.0001,256
cora_run<built-in function id>_MLP-e5-large_hyperu2kp5zsd,8.12,5.17,24.72,35.79,60.89,55.35,13.23,8.12,5.17,21.4,29.89,55.35,67.16,78.67,78.47,71.03,0.0001,512
cora_run<built-in function id>_MLP-e5-large_hyper3a18l7vk,8.12,5.17,24.72,35.79,60.89,55.35,13.23,8.12,5.17,21.4,29.89,55.35,67.16,78.67,78.47,71.03,0.0001,1024
cora_run<built-in function id>_MLP-e5-large_hyperimlunale,5.9,20.66,36.16,49.82,69.0,83.39,16.9,5.9,20.66,39.11,49.82,69.0,74.54,83.26,84.02,73.25,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hyper467hr041,2.58,20.66,25.83,49.82,69.0,83.39,16.9,2.58,20.66,25.83,32.47,60.89,67.9,83.26,84.02,72.69,0.01,2048
cora_run<built-in function id>_MLP-e5-large_hyperx954hgap,2.58,20.66,25.83,49.82,69.0,83.39,16.9,2.58,20.66,25.83,33.21,52.77,67.53,83.26,84.02,73.62,0.001,1024
cora_run<built-in function id>_MLP-e5-large_hyperijiycena,9.96,20.66,25.83,49.82,69.0,83.39,18.76,9.96,20.66,25.83,33.21,53.87,70.85,83.26,84.02,73.62,0.001,2048
cora_run<built-in function id>_MLP-e5-large_hyper32vp100o,9.96,20.66,25.83,49.82,69.0,83.39,18.76,9.96,20.66,25.83,33.21,53.87,70.85,83.26,84.02,73.62,0.0001,1024
cora_run<built-in function id>_MLP-e5-large_hypero95ks497,9.96,20.66,25.83,49.82,69.0,83.39,18.76,9.96,20.66,25.83,33.21,53.87,70.85,83.26,84.02,73.62,0.0001,2048
cora_run<built-in function id>_MLP-e5-large_hypero4vdxzyk,16.61,15.87,30.26,46.49,67.53,83.03,16.71,16.61,21.4,37.27,31.73,69.0,66.05,82.96,82.55,73.62,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hypercsw0rbbi,8.49,15.87,30.26,40.22,67.53,81.92,16.48,8.49,21.4,37.27,44.65,61.62,66.05,83.26,83.69,73.62,0.01,2048
cora_run<built-in function id>_MLP-e5-large_hyper68ivkvpl,8.49,15.87,30.26,40.22,67.53,81.92,16.48,8.49,21.4,37.27,44.65,61.62,66.05,83.26,83.69,73.62,0.001,1024
cora_run<built-in function id>_MLP-e5-large_hyperkotv6r8e,8.49,15.87,38.38,40.22,62.36,81.18,16.48,8.49,21.4,38.38,44.65,61.62,66.05,83.26,83.69,73.62,0.001,2048
cora_run<built-in function id>_MLP-e5-large_hyperlrg4tshh,9.23,17.71,38.38,52.4,70.85,78.6,17.9,9.23,17.71,38.38,44.65,70.85,66.05,82.09,83.68,73.62,0.0001,1024
cora_run<built-in function id>_MLP-e5-large_hyperfpqti3nq,9.23,17.71,38.38,52.4,70.85,78.6,17.9,9.23,17.71,38.38,44.65,70.85,66.05,82.09,83.68,73.62,0.0001,2048
cora_run<built-in function id>_MLP-e5-large_hypert5qootdd,5.54,18.82,44.65,54.98,67.53,83.76,16.77,5.54,18.82,44.65,54.98,61.62,83.76,83.16,84.22,72.32,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hyperv7kep5t8,5.17,18.82,44.65,48.71,67.53,83.76,15.98,5.17,18.82,36.53,34.69,44.65,66.79,83.16,84.22,72.32,0.01,2048
cora_run<built-in function id>_MLP-e5-large_hyperipggqvfq,5.17,18.82,44.65,48.71,67.53,83.76,15.98,5.17,18.82,36.53,35.79,60.52,82.29,83.16,84.22,73.43,0.001,1024
cora_run<built-in function id>_MLP-e5-large_hyperpk5mokde,5.17,18.82,44.65,48.71,67.53,83.76,15.98,5.17,18.82,36.53,35.79,55.72,82.29,83.16,84.22,73.43,0.001,2048
cora_run<built-in function id>_MLP-e5-large_hyperkgg5e1e9,5.17,18.82,44.65,48.71,67.53,83.76,15.98,5.17,18.82,36.53,35.79,55.72,82.29,83.16,84.22,73.43,0.0001,1024
cora_run<built-in function id>_MLP-e5-large_hyperds8ccgiq,5.17,18.82,44.65,48.71,67.53,83.76,15.98,5.17,18.82,36.53,35.79,55.72,82.29,83.16,84.22,73.43,0.0001,2048
cora_run<built-in function id>_MLP-e5-large_hyper5zz21iht,16.97,16.97,35.42,49.82,67.53,81.18,21.2,16.97,16.97,35.42,50.92,66.05,81.18,82.26,83.17,73.06,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hyperej487ue5,9.23,16.97,35.42,49.82,67.53,81.18,17.7,9.23,15.5,35.42,35.79,53.51,66.42,82.26,83.17,74.17,0.01,2048
cora_run<built-in function id>_MLP-e5-large_hyperzz6q1m0e,9.23,16.97,35.42,49.82,67.53,81.18,17.7,9.23,15.5,35.42,35.79,53.51,71.96,82.26,83.17,55.72,0.001,1024
cora_run<built-in function id>_MLP-e5-large_hyper42yr5w5d,9.23,16.97,35.42,49.82,67.53,81.18,17.7,9.23,15.5,35.42,35.79,53.51,71.96,82.26,83.17,55.72,0.001,2048
cora_run<built-in function id>_MLP-e5-large_hyperv8xg44op,9.23,16.97,35.42,49.82,67.53,81.18,17.7,9.23,15.5,35.42,35.79,53.51,71.96,82.26,83.17,55.72,0.0001,1024
cora_run<built-in function id>_MLP-e5-large_hyperljz00wak,9.23,16.97,35.42,49.82,67.53,81.18,17.7,9.23,15.5,35.42,35.79,53.51,71.96,82.26,83.17,55.72,0.0001,2048
cora_run<built-in function id>_MLP-e5-large_hyperh2nql5n5,3.32,17.34,31.73,40.22,45.02,81.92,19.1,3.32,17.34,31.73,40.22,45.02,63.1,80.59,81.81,51.29,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hyperqx9d87jy,7.75,17.34,31.73,40.22,45.02,80.07,15.84,7.75,17.34,31.73,52.03,65.31,87.08,83.22,83.98,73.62,0.01,2048
cora_run<built-in function id>_MLP-e5-large_hypergz4ptveq,7.75,17.34,31.73,40.22,45.02,80.07,15.84,7.75,17.34,25.83,34.32,65.31,70.11,83.22,83.98,73.62,0.001,1024
cora_run<built-in function id>_MLP-e5-large_hyperdhppga2q,7.75,17.34,31.73,40.22,45.02,80.07,15.84,7.75,17.34,25.83,40.59,65.31,70.11,83.22,83.98,73.62,0.001,2048
cora_run<built-in function id>_MLP-e5-large_hypertzy935a0,7.75,17.34,31.73,40.22,45.02,80.07,15.84,7.75,17.34,25.83,40.59,65.31,70.11,83.22,83.98,73.62,0.0001,1024
cora_run<built-in function id>_MLP-e5-large_hypero8eld2xc,7.75,17.34,31.73,40.22,45.02,80.07,15.84,7.75,17.34,25.83,40.59,65.31,70.11,83.22,83.98,73.62,0.0001,2048
Best,16.97,20.66,44.65,54.98,70.85,83.76,21.2,16.97,21.4,44.65,54.98,70.85,90.77,83.26,84.22,74.17,0.01,2048
