Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
cora_runiwboiq84_SEAL,41.7,45.57,66.42,73.99,78.6,96.13,46.13,41.7,45.57,66.42,73.99,78.6,96.13,95.78,95.91,80.72,32,256,0.01
cora_runobe86n8y_SEAL,42.8,51.48,66.42,73.99,78.6,96.13,46.13,42.8,51.48,66.42,73.99,78.6,96.13,95.78,95.91,80.72,64,32,0.01
cora_runz84ybmud_SEAL,42.8,51.48,66.42,73.99,78.6,96.13,46.13,42.8,51.48,66.42,73.99,78.6,96.13,95.78,95.91,80.72,64,64,0.01
cora_run7jwmpyd8_SEAL,37.45,43.36,69.0,74.17,88.38,96.13,49.1,37.45,43.36,69.0,74.17,88.38,95.57,95.91,96.09,80.72,64,128,0.01
cora_runfxcrh3as_SEAL,37.45,43.36,69.0,74.17,88.38,95.02,49.1,37.45,43.36,69.0,74.17,88.38,95.57,96.48,96.09,80.72,64,256,0.01
cora_runbrw9l67j_SEAL,37.45,43.36,69.0,74.17,88.38,95.02,49.1,37.45,43.36,69.0,74.17,88.38,95.57,96.48,96.09,80.72,128,32,0.01
cora_run1xfuolf2_SEAL,37.45,43.36,69.0,74.17,88.38,95.02,49.1,37.45,43.36,69.0,74.17,88.38,95.57,96.48,96.09,80.72,128,64,0.01
cora_runhbr7yutc_SEAL,37.45,43.36,69.0,74.17,77.68,95.02,49.1,37.45,43.36,69.0,74.17,77.68,95.57,96.48,96.09,80.72,128,128,0.01
cora_runzl0gzh5u_SEAL,37.45,43.36,69.37,74.17,77.68,95.02,49.1,37.45,43.36,69.37,74.17,77.68,95.57,96.48,96.95,80.72,128,256,0.01
cora_run6danejzj_SEAL,37.45,43.36,69.37,74.17,77.68,95.02,49.1,37.45,43.36,69.37,74.17,77.68,95.57,96.48,96.95,80.72,256,32,0.01
cora_runtef0zx92_SEAL,37.45,43.36,69.37,74.17,77.68,95.02,49.1,37.45,43.36,69.37,74.17,77.68,95.57,96.48,96.95,80.72,256,64,0.01
cora_run4zskzi97_SEAL,37.45,43.36,69.37,74.17,77.68,95.02,49.1,37.45,43.36,69.37,74.17,77.68,95.57,96.48,96.95,80.72,256,128,0.01
cora_runw59j5r3e_SEAL,37.45,43.36,69.37,74.17,78.78,95.02,49.1,37.45,43.36,69.37,74.17,78.78,95.57,96.48,96.95,80.72,256,256,0.01
Best,47.42,64.76,72.88,83.39,94.46,96.86,55.35,47.42,64.76,72.88,83.39,94.46,96.86,97.02,97.39,92.25,256,256,0.01
