Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
cora_runesz6deo5_NeoGNN_hyper26ugjlp4,30.26,60.52,67.53,73.8,83.76,89.3,55.7,30.26,60.52,67.53,73.8,83.76,89.3,89.83,91.8,84.87,128,2,64,8,0.0,256,0.01
cora_runesz6deo5_NeoGNN_hyperflmxjwmo,30.26,60.52,67.53,73.8,83.76,91.51,55.7,30.26,60.52,67.53,73.8,83.76,91.51,91.36,92.49,84.87,128,2,64,8,0.0,256,0.001
cora_runesz6deo5_NeoGNN_hyperkh6u9xrq,24.35,57.2,67.53,73.06,83.76,91.51,45.95,24.35,57.2,67.53,73.06,83.76,91.51,91.36,92.49,84.87,128,2,64,8,0.0,512,0.01
cora_runesz6deo5_NeoGNN_hyperm6f1hclt,24.35,57.2,67.53,73.06,83.76,91.51,45.95,24.35,57.2,67.53,73.06,83.76,91.51,91.36,92.49,84.87,128,2,64,8,0.0,512,0.001
cora_runesz6deo5_NeoGNN_hypergmkvap0s,24.35,57.2,67.53,69.37,83.76,91.51,45.95,24.35,57.2,67.53,69.37,83.76,91.51,91.36,92.49,84.87,128,2,64,8,0.0,1024,0.01
cora_runesz6deo5_NeoGNN_hyper1w6akdvm,24.35,57.2,67.53,69.37,86.35,91.51,45.95,24.35,57.2,67.53,69.37,86.35,91.51,91.36,92.49,84.87,128,2,64,8,0.0,1024,0.001
cora_runesz6deo5_NeoGNN_hyper381col2p,23.25,60.15,67.53,73.43,86.35,91.51,42.33,23.25,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.1,256,0.01
cora_runesz6deo5_NeoGNN_hyper5f2d1oaa,23.25,60.15,67.53,73.43,86.35,91.51,42.33,23.25,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.1,256,0.001
cora_runesz6deo5_NeoGNN_hyperpkcp245d,36.53,60.15,67.53,73.43,86.35,91.51,48.67,36.53,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.1,512,0.01
cora_runesz6deo5_NeoGNN_hyper97rl09gn,36.53,60.15,67.53,73.43,86.35,91.51,48.67,36.53,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.1,512,0.001
cora_runesz6deo5_NeoGNN_hyper9hp2mqf1,36.53,60.15,67.53,73.43,86.35,91.51,48.67,36.53,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.1,1024,0.01
cora_runesz6deo5_NeoGNN_hyperk4kmd74l,36.53,60.15,67.53,73.43,86.35,91.51,48.67,36.53,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.1,1024,0.001
cora_runesz6deo5_NeoGNN_hyper3pjmccwc,52.4,60.15,67.53,73.43,86.35,91.51,59.02,52.4,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.3,256,0.01
cora_runesz6deo5_NeoGNN_hyperj61nq2mp,52.4,60.15,67.53,73.43,86.35,91.51,59.02,52.4,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.3,256,0.001
cora_runesz6deo5_NeoGNN_hyper912aeu40,52.4,60.15,67.53,73.43,86.35,91.51,59.02,52.4,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.3,512,0.01
cora_runesz6deo5_NeoGNN_hyper82s6jwfi,52.4,60.15,67.53,73.43,86.35,91.51,59.02,52.4,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.3,512,0.001
cora_runesz6deo5_NeoGNN_hyper0ab7zt2z,52.4,60.15,67.53,73.43,86.35,91.51,59.02,52.4,60.15,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.3,1024,0.01
Best,52.4,60.52,67.53,73.8,86.35,91.51,59.02,52.4,60.52,67.53,77.12,86.35,91.51,91.36,92.49,85.61,128,2,64,8,0.3,1024,0.01
