Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
arxiv_2023_run<built-in function id>_NCN_hyperc911ah82,41.89,56.54,90.42,95.33,97.97,98.94,53.41,41.89,56.54,90.42,95.33,97.97,98.94,99.59,99.59,97.69,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hypergb4mx2mq,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,512
arxiv_2023_run<built-in function id>_NCN_hyper34hd8689,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,512
arxiv_2023_run<built-in function id>_NCN_hyper9vnju797,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,512
arxiv_2023_run<built-in function id>_NCN_hypermi3uz5sv,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,512
arxiv_2023_run<built-in function id>_NCN_hypercc665qwy,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperw0qc0agn,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyper1noa0ttq,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyper4gwxotiy,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,1024
arxiv_2023_run<built-in function id>_NCN_hypergj9nvr36,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyperj8kazyp7,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyper1y7vlsk0,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyperh6a7cku5,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.59,99.59,97.87,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyper9bp3pvzh,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyper5xvb4p49,41.89,57.71,90.42,95.89,98.48,98.88,53.41,41.89,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperfu9jrule,41.28,57.71,90.42,95.89,98.48,98.88,50.4,41.28,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.0,0.2,0.0001,0.001,64,256
